"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"96","Randall Cobb","NYJ","11","WR41","101","","","103","","99.4"
"97","Ben Roethlisberger","","","QB11","78","","","100","","100.6"
"98","Nelson Agholor","BAL","10","WR42","110","","","104","","102.0"
"99","Marlon Mack","ARI","9","RB36","153","","","98","","104.8"
"100","Jimmy Garoppolo","LV"," ","QB12","108","","","109","","105.2"
"101","Sterling Shepard","NYG","9","WR43","93","","","114","","105.6"
"102","Peyton Barber","","","RB37","97","","","106","","106.4"
"103","Matt Ryan","","","QB13","99","","","105","","107.0"
"104","Jack Doyle ","","","TE11","103","","","113","","108.6"
"105","Chris Thompson","","","RB38","80","","","61","","109.0"
"106","Philip Rivers","","","QB14","118","","","111","","109.0"
"107","Ronald Jones II","","","RB39","171","","","102","","112.4"
"108","David Njoku","CLE","11","TE12","117","","","107","","112.6"
"109","Kelvin Benjamin","","","WR44","109","","","112","","113.8"
"110","Kenny Stills","","","WR45","123","","","117","","115.8"
"111","James White","","","RB40","121","","","108","","116.0"
"112","Aaron Jones","GB","7 ","RB41","146","","","110","","116.8"
"113","Patrick Mahomes II","KC","12","QB15","122","","","120","","120.8"
"114","Jared Goff","DET","6","QB16","120","","","130","","121.0"
"115","DeVante Parker","NE","11","WR46","151","","","116","","125.2"
"116","Allen Hurns","","","WR47","128","","","118","","125.2"
"117","Adrian Peterson","","","RB42","90","","","140","","125.4"
"118","Nick Chubb","CLE","11","RB43","156","","","124","","127.4"
"119","C.J. Anderson","","","RB44","168","","","99","","130.2"
"120","Greg Zuerlein","NYJ","11","K1","96","","","158","","134.2"
"121","Alex Smith ","","","QB17","116","","","153","","134.4"
"122","Matt Breida","NYG","9 ","RB45","127","","","132","","134.8"
"123","Calvin Ridley","JAC","9","WR48","158","","","135","","135.6"
"124","Stephen Gostkowski","","","K2","94","","","156","","136.2"
"125","Keelan Cole Sr.","LV","","WR49","133","","","136","","136.4"
"126","George Kittle","SF","11","TE13","163","","","129","","136.8"
"127","Ty Montgomery II","","","RB46","154","","","131","","137.2"
"128","Marcus Mariota","PHI","9","QB18","131","","","147","","137.4"
"129","Tyler Eifert ","","","TE14","136","","","133","","137.4"
"130","Jacksonville Jaguars","DST","9","DST1","65","","","96","","86.0"
"131","Derek Carr","NO","6","QB19","114","","","142","","138.4"
"132","DJ Moore","CHI","5","WR50","178","","","123","","139.0"
"133","Giovani Bernard","","","RB47","167","","","141","","141.4"
"134","Dak Prescott","DAL","8","QB20","113","","","150","","141.8"
"135","Justin Tucker","BAL","10","K3","124","","","161","","142.2"
"136","Bilal Powell ","","","RB48","165","","","149","","142.4"
"137","Latavius Murray","BUF","11","RB49","159","","","146","","142.6"
"138","Michael Gallup","DAL","8","WR51","157","","","121","","144.2"
"139","Kenny Golladay","","","WR52","150","","","152","","144.6"
"140","Corey Clement","","","RB50","160","","","144","","144.8"
"141","Alfred Morris","","","RB51","68","","","173","","145.0"
"142","Josh Doctson","","","WR53","126","","","151","","148.2"
"143","Tyler Lockett","SEA","7","WR54","140","","","168","","150.0"
"144","Los Angeles Rams","DST","12","DST2","84","","","115","","104.8"
"145","Cameron Meredith ","","","WR55","177","","","125","","153.0"
"146","Theo Riddick","","","RB52","172","","","126","","154.4"
"147","Minnesota Vikings","DST","10","DST3","95","","","119","","112.0"
"148","Philadelphia Eagles","DST","9","DST4","85","","","127","","114.0"
"149","LeGarrette Blount","","","RB53","144","","","164","","162.0"
"150","Jordan Wilkins","","","RB54","170","","","145","","165.8"
"151","Anthony Miller","KC","12","WR56","185","","","166","","166.0"
"152","Chris Godwin","TB","5","WR57","176","","","155","","166.6"
"153","James Conner","ARI","9","RB55","119","","","180","","169.2"
"154","Mike Williams","LAC","8","WR58","162","","","122","","177.2"
"155","John Brown","","","WR59","188","","","154","","173.2"
"156","Baltimore Ravens","DST","10","DST5","115","","","138","","132.8"
"157","Los Angeles Chargers","DST","8","DST6","147","","","134","","132.8"
"158","Mitch Trubisky","PIT","7","QB21","155","","","218","","175.8"
"159","Wil Lutz","DEN","10","K4","181","","","169","","176.4"
"160","Matt Bryant","","","K5","137","","","177","","178.2"
"161","Chris Boswell","PIT","7 ","K6","132","","","176","","178.6"
"162","Harrison Butker","KC","12","K7","193","","","167","","179.4"
"163","Houston Texans","DST","10","DST7","129","","","137","","138.3"
"164","John Ross","","","WR60","141","","","191","","180.2"
"165","Devontae Booker","","","RB56","","","","128","","141.0"
"166","Jake Elliott","PHI","9","K8","189","","","178","","185.4"
"167",".J. Howard O","","","TE15","","","","160","","147.8"
"168","Danny Amendola","","","WR61","149","","","225","","187.6"
"169","Denver Broncos","DST","10","DST8","164","","","139","","151.5"
"170","Courtland Sutton","DEN","10","WR62","180","","","216","","194.4"
"171","Robbie Gould","","","K9","187","","","185","","194.4"
"172","Mohamed Sanu Sr.","","","WR63","130","","","204","","158.0"
"173","Austin Seferian-Jenkins","","","TE16","161","","","143","","161.3"
