"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"42","Rashaad Penny (PHI)","119","749","6.3","62","20","6","6","8","48","8.0","0","0","10","121.7","12.2","12.0%"
"43","Jamaal Williams (NO)","153","601","3.9","20","1","3","26","28","157","6.0","0","0","13","119.8","9.2","20.2%"
"44","Miles Sanders (CAR)","137","754","5.5","38","9","0","26","34","158","6.1","0","1","12","117.2","9.8","45.1%"
"45","Ty Johnson (BUF)","61","238","3.9","24","2","2","34","55","372","10.9","2","1","15","117.0","7.8","0.3%"
"46","Clyde Edwards-Helaire (KC)","119","517","4.3","17","0","4","19","23","118","6.2","2","2","10","116.5","11.7","35.4%"
"47","Rhamondre Stevenson (NE)","133","606","4.6","21","1","5","14","18","123","8.8","0","1","12","114.9","9.6","78.2%"
"48","Nyheim Hines (BUF)","56","276","4.9","34","3","2","40","57","310","7.8","1","2","17","112.6","6.6","0.1%"
"49","Kareem Hunt (CLE)","78","386","4.9","33","3","5","22","27","174","7.9","0","0","8","110.0","13.8","47.1%"
"50","Mark Ingram II (FA)","160","554","3.5","28","2","2","27","35","162","6.0","0","1","14","108.6","7.8","0.1%"
"51","Zack Moss (IND)","96","345","3.6","17","0","4","23","32","197","8.6","1","1","13","105.2","8.1","66.8%"
"52","Rex Burkhead (FA)","122","427","3.5","36","3","3","25","32","186","7.4","0","0","15","104.3","7.0","10.0%"
"53","D'Ernest Johnson (JAC)","100","534","5.3","30","5","3","19","25","137","7.2","0","0","13","104.1","8.0","3.7%"
"54","Latavius Murray (BUF)","119","501","4.2","46","5","6","10","13","75","7.5","0","0","14","103.6","7.4","14.3%"
"55","Kenyan Drake (FA)","63","254","4.0","21","1","2","30","40","291","9.7","1","0","12","102.5","8.5","0.2%"
"56","Boston Scott (PHI)","87","373","4.3","23","2","7","13","16","83","6.4","0","1","11","98.6","9.0","0.4%"
"57","D'Onta Foreman (CHI)","133","566","4.3","35","6","3","9","11","123","13.7","0","1","9","93.9","10.4","32.8%"
"58","Ameer Abdullah (LV)","51","166","3.3","15","0","0","38","53","289","7.6","1","0","17","89.5","5.3","1.0%"
"59","Justin Jackson (FA)","68","364","5.4","75","5","2","22","25","178","8.1","0","1","14","86.2","6.2","0.0%"
"60","Samaje Perine (DEN)","55","246","4.5","46","4","1","27","31","196","7.3","1","0","15","83.2","5.5","27.1%"
"61","David Johnson (FA)","67","228","3.4","15","0","0","32","42","225","7.0","1","1","13","81.3","6.3","0.1%"
"62","Ronald Jones II (FA)","101","428","4.2","30","2","4","10","13","64","6.4","0","2","15","79.2","5.3","0.3%"
"63","Khalil Herbert (CHI)","103","433","4.2","29","4","2","14","16","96","6.9","0","0","16","78.9","4.9","55.9%"
"64","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","30","38","296","9.9","1","0","15","73.8","4.9","0.4%"
"65","Jeremy McNichols (FA)","41","156","3.8","14","0","0","28","38","240","8.6","1","0","13","73.6","5.7","0.0%"
"66","Dontrell Hilliard (FA)","56","350","6.3","68","6","2","19","26","87","4.6","0","1","8","72.7","9.1","0.0%"
"67","Alex Collins (FA)","108","411","3.8","25","2","2","9","10","87","9.7","0","1","11","68.8","6.3","19.0%"
"68","Jordan Howard (FA)","86","406","4.7","25","1","3","2","5","19","9.5","0","0","7","62.5","8.9","0.0%"
"69","Travis Homer (CHI)","21","177","8.4","73","5","1","16","20","161","10.1","0","0","14","61.8","4.4","0.1%"
"70","Damien Williams (FA)","40","164","4.1","23","1","2","16","23","103","6.4","1","0","12","60.7","5.1","0.0%"
