"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"80","Wendell Smallwood (FA)","47","174","3.7","26","2","1","13","18","103","7.9","0","0","8","46.7","5.8","0.0%"
"81","Malcolm Brown (FA)","63","246","3.9","20","1","1","9","11","53","5.9","0","0","11","44.9","4.1","0.0%"
"82","Alfred Blue (FA)","71","262","3.7","48","1","1","7","9","54","7.7","0","0","11","44.6","4.1","0.0%"
"83","Robert Kelley (FA)","62","194","3.1","21","1","3","4","7","18","4.5","0","0","7","43.2","6.2","0.0%"
"84","Corey Grant (FA)","30","248","8.3","58","3","2","3","4","41","13.7","0","1","16","41.9","2.6","0.0%"
"85","Kapri Bibbs (FA)","21","79","3.8","16","0","0","14","17","128","9.1","1","0","3","40.7","13.6","0.1%"
"86","Chris Carson (FA)","49","208","4.2","30","1","0","7","8","59","8.4","1","0","4","39.7","9.9","0.3%"
"87","Travaris Cadet (FA)","23","96","4.2","12","0","0","16","19","119","7.4","0","0","9","37.5","4.2","0.0%"
"88","Elijhaa Penny (FA)","31","124","4.0","14","0","2","4","6","38","9.5","0","0","16","32.2","2.0","0.0%"
"89","D.J. Foster (FA)","6","19","3.2","5","0","0","17","28","133","7.8","0","0","7","32.2","4.6","0.0%"
"90","Thomas Rawls (FA)","58","157","2.7","23","1","0","9","13","94","10.4","0","1","12","32.1","2.7","0.1%"
"91","Tion Green (FA)","42","165","3.9","33","1","2","2","2","14","7.0","0","0","5","31.9","6.4","0.0%"
"92","Tommy Bohanon (FA)","5","5","1.0","3","0","2","6","11","43","7.2","1","0","16","28.8","1.8","0.0%"
"93","Eddie Lacy (FA)","69","179","2.6","19","0","0","6","6","47","7.8","0","0","9","28.6","3.2","0.3%"
"94","Terrance West (FA)","39","138","3.5","13","0","2","2","4","23","11.5","0","1","5","28.1","5.6","0.0%"
"95","Robert Turbin (FA)","23","53","2.3","7","0","1","9","11","56","6.2","0","0","6","25.9","4.3","0.0%"
"96","Kenjon Barner (FA)","16","57","3.6","18","0","1","5","8","56","11.2","0","0","13","22.3","1.7","0.0%"
"97","Paul Perkins (FA)","41","90","2.2","14","0","0","8","10","46","5.8","0","0","11","21.6","2.0","0.0%"
"98","C.J. Ham (MIN)","7","13","1.9","3","0","1","7","8","68","9.7","0","0","16","21.1","1.3","0.1%"
"99","Anthony Sherman (FA)","14","40","2.9","9","0","1","6","8","47","7.8","0","0","16","20.7","1.3","0.0%"
"100","Chris Johnson (FA)","45","114","2.5","11","0","0","5","6","43","8.6","0","0","4","20.7","5.2","0.6%"
"101","Jamize Olawale (FA)","9","43","4.8","11","0","1","6","7","33","5.5","0","0","12","19.6","1.6","0.0%"
"102","Darren Sproles (FA)","15","61","4.1","12","0","0","7","12","73","10.4","0","1","3","18.4","6.1","0.1%"
"103","Fozzy Whittaker (FA)","7","18","2.6","8","0","0","5","6","47","9.4","1","0","12","17.5","1.5","0.0%"
"104","Patrick Ricard (BAL)","0","0","0","0","0","0","4","4","12","3.0","2","0","16","17.2","1.1","0.1%"
"105","Jeremy Hill (FA)","37","116","3.1","13","0","0","4","4","16","4.0","0","0","7","17.2","2.5","0.0%"
"106","C.J. Prosise (FA)","11","23","2.1","8","0","0","6","11","87","14.5","0","0","5","17.0","3.4","0.0%"
"107","Branden Oliver (FA)","35","83","2.4","26","1","0","6","11","26","4.3","0","0","8","16.9","2.1","0.0%"
"108","Stevan Ridley (FA)","26","108","4.2","21","1","1","0","0","0","0","0","0","2","16.8","8.4","0.0%"
"109","Cameron Artis-Payne (FA)","18","95","5.3","43","1","1","1","1","2","2.0","0","0","13","16.7","1.3","0.0%"
"110","Terron Ward (FA)","30","129","4.3","17","0","0","3","3","14","4.7","0","1","14","15.3","1.1","0.0%"
"111","Andy Janovich (FA)","6","12","2.0","4","0","1","4","6","35","8.8","0","0","16","14.7","0.9","0.0%"
"112","Roosevelt Nix (FA)","3","0","0.0","1","0","1","2","3","6","3.0","1","0","16","14.6","0.9","0.0%"
"113","James Conner (ARI)","32","144","4.5","23","1","0","0","1","0","0","0","0","14","14.4","1.0","93.9%"
"114","David Johnson (FA)","11","23","2.1","6","0","0","6","9","67","11.2","0","1","1","13.0","13.0","0.1%"
"115","Tyler Ervin (FA)","4","12","3.0","6","0","0","8","11","38","4.8","0","0","4","13.0","3.3","0.0%"
"116","De'Angelo Henderson Sr. (FA)","7","13","1.9","5","0","0","2","2","36","18.0","1","0","5","12.9","2.6","0.0%"
"117","Byron Marshall (FA)","9","32","3.6","11","0","0","6","8","36","6.0","0","0","4","12.8","3.2","0.1%"
"118","Aaron Ripkowski (FA)","5","13","2.6","4","0","0","7","10","39","5.6","0","0","16","12.2","0.8","0.0%"
"119","Lance Dunbar (FA)","11","51","4.6","12","0","1","1","3","1","1.0","0","0","4","12.2","3.1","0.0%"
"120","Zach Line (FA)","7","28","4.0","9","0","0","2","5","8","4.0","1","0","12","11.6","1.0","0.0%"
"121","Trey Edmunds (FA)","9","48","5.3","41","1","1","0","0","0","0","0","0","16","10.8","0.7","0.0%"
"122","James Develin (FA)","0","0","0","0","0","0","6","10","38","6.3","0","0","16","9.8","0.6","0.0%"
"123","Patrick DiMarco (FA)","2","-2","-1.0","0","0","0","7","10","28","4.0","0","0","16","9.6","0.6","0.0%"
"124","Akeem Hunt (FA)","8","23","2.9","11","0","0","4","7","31","7.8","0","0","15","9.4","0.6","0.0%"
"125","Brian Hill (FA)","11","37","3.4","11","0","0","2","2","36","18.0","0","0","7","9.3","1.3","0.0%"
"126","Zach Zenner (FA)","14","26","1.9","14","0","1","0","1","0","0","0","0","8","8.6","1.1","0.0%"
"127","Tre Madden (FA)","0","0","0","0","0","0","2","2","65","32.5","0","0","8","8.5","1.1","0.1%"
"128","Brandon Bolden (LV)","13","67","5.2","20","1","0","1","4","7","7.0","0","0","16","8.4","0.5","0.1%"
"129","Matt Dayes (FA)","5","13","2.6","4","0","0","4","5","29","7.3","0","0","16","8.2","0.5","0.0%"
"130","Derek Watt (FA)","6","24","4.0","17","0","0","2","3","35","17.5","0","0","16","7.9","0.5","0.0%"
"131","Dwayne Washington (DEN)","20","44","2.2","6","0","0","2","2","14","7.0","0","0","5","7.8","1.6","0.0%"
"132","Keith Smith (ATL)","0","0","0","0","0","0","5","5","26","5.2","0","0","16","7.6","0.5","0.0%"
"133","Jay Prosch (FA)","0","0","0","0","0","0","4","4","31","7.8","0","0","16","7.1","0.4","0.0%"
"134","Bobby Rainey (FA)","1","2","2.0","2","0","0","5","7","18","3.6","0","0","4","7.0","1.8","0.0%"
"135","Marcus Murphy (FA)","7","41","5.9","25","1","0","2","2","7","3.5","0","0","1","6.8","6.8","0.0%"
"136","Jalston Fowler (FA)","2","4","2.0","3","0","1","0","1","0","0","0","0","10","6.4","0.6","0.0%"
"137","De'Veon Smith (FA)","0","0","0","0","0","0","3","3","27","9.0","0","0","5","5.7","1.1","0.0%"
"138","Fitzgerald Toussaint (FA)","6","25","4.2","7","0","0","2","3","9","4.5","0","0","6","5.4","0.9","0.0%"
"139","Josh Ferguson (FA)","1","5","5.0","5","0","0","3","4","16","5.3","0","0","10","5.1","0.5","0.0%"
"140","Mack Brown (FA)","8","29","3.6","11","0","0","1","1","11","11.0","0","0","4","5.0","1.3","0.0%"
"141","Danny Vitale (FA)","0","0","0","0","0","0","3","5","19","6.3","0","0","15","4.9","0.3","0.0%"
"142","Derrick Coleman (FA)","2","8","4.0","5","0","0","2","7","20","10.0","0","0","16","4.8","0.3","0.1%"
"143","Senorise Perry (FA)","8","30","3.8","12","0","0","1","1","3","3.0","0","0","16","4.3","0.3","0.0%"
"144","Ryan Hewitt (FA)","0","0","0","0","0","0","2","2","22","11.0","0","0","13","4.2","0.3","0.0%"
"145","Michael Burton (DEN)","4","9","2.3","7","0","0","2","4","8","4.0","0","0","16","3.7","0.2","0.1%"
"146","Andre Williams (FA)","9","25","2.8","7","0","0","0","0","0","0","0","0","8","2.5","0.3","0.0%"
"147","Taiwan Jones (FA)","0","0","0","0","0","0","1","2","11","11.0","0","0","8","2.1","0.3","0.0%"
"148","David Fluellen (FA)","4","21","5.3","10","0","0","0","1","0","0","0","0","16","2.1","0.1","0.0%"
"149","Matt Jones (FA)","5","14","2.8","5","0","0","0","0","0","0","0","0","5","1.4","0.3","0.0%"
"150","LeShun Daniels (FA)","3","14","4.7","8","0","0","0","0","0","0","0","0","4","1.4","0.4","0.0%"
"151","Joe Kerridge (FA)","0","0","0","0","0","0","1","1","3","3.0","0","0","4","1.3","0.3","0.0%"
"152","Devante Mays (FA)","4","1","0.3","2","0","0","3","3","0","0.0","0","1","8","1.1","0.1","0.1%"
"153","Raheem Mostert (MIA)","6","30","5.0","16","0","0","0","0","0","0","0","1","11","1.0","0.1","96.5%"
"154","Terrell Watson (FA)","5","8","1.6","3","0","0","0","0","0","0","0","0","10","0.8","0.1","0.0%"
"155","John Kuhn (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"156","Justin Davis (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","4","0.1","0.0","0.0%"
"157","Nick Bellore (SEA)","0","0","0","0","0","0","1","1","1","1.0","1","0","13","0.0","0.0","7.0%"
"158","Jordan Todman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"159","Joe Banyard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"160","Cordarrelle Patterson (ATL)","13","121","9.3","47","2","2","31","42","309","10.0","0","0","16","0.0","0.0","2.0%"
"161","C.J. Spiller (FA)","2","0","0.0","1","0","0","0","2","0","0","0","0","1","0.0","0.0","0.1%"
"162","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"163","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"164","Jarveon Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.1%"
"166","Alex Armah Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"167","Terrence Magee (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"168","Lawrence Thomas (FA)","2","1","0.5","1","0","0","6","7","43","7.2","0","0","14","0.0","0.0","0.0%"
"169","Marquez Williams (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"170","Elijah Hood (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Jeremy McNichols (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"172","Tani Tupou (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Daniel Lasco (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"174","Darren McFadden (FA)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","1","-0.2","-0.2","7.0%"
"175","Bronson Hill (FA)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","2","-0.2","-0.1","0.0%"
""
""
