"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Todd Gurley II (FA)","279","1,305","4.7","57","8","13","64","87","788","12.3","6","2","15","383.3","25.6","0.1%"
"2","Le'Veon Bell (FA)","321","1,291","4.0","27","3","9","85","106","655","7.7","2","2","15","341.6","22.8","0.2%"
"3","Alvin Kamara (NO)","120","728","6.1","74","5","8","81","100","826","10.2","5","1","16","314.4","19.7","98.6%"
"4","Kareem Hunt (CLE)","272","1,327","4.9","69","12","8","53","63","455","8.6","3","1","16","295.2","18.5","47.1%"
"5","Melvin Gordon III (BAL)","284","1,105","3.9","87","5","8","58","83","476","8.2","4","0","16","288.1","18.0","1.2%"
"6","Mark Ingram II (FA)","230","1,124","4.9","72","11","12","58","71","416","7.2","0","3","16","278.0","17.4","0.1%"
"7","LeSean McCoy (FA)","287","1,138","4.0","48","12","6","59","77","448","7.6","2","1","16","263.6","16.5","2.0%"
"8","Carlos Hyde (FA)","240","938","3.9","61","6","8","59","88","350","5.9","0","1","16","233.8","14.6","0.0%"
"9","Leonard Fournette (FA)","268","1,040","3.9","90","4","9","36","48","302","8.4","1","0","13","230.2","17.7","3.0%"
"10","Christian McCaffrey (SF)","117","435","3.7","40","1","2","80","113","651","8.1","5","1","16","228.6","14.3","97.9%"
"11","Duke Johnson Jr. (FA)","82","348","4.2","19","0","4","74","93","693","9.4","3","2","16","216.1","13.5","0.0%"
"12","Ezekiel Elliott (NE)","242","983","4.1","30","5","7","26","38","269","10.3","2","1","10","203.2","20.3","82.2%"
"13","Devonta Freeman (FA)","196","865","4.4","44","5","7","36","47","317","8.8","1","1","14","200.2","14.3","0.0%"
"14","Jordan Howard (FA)","276","1,122","4.1","53","5","9","23","32","125","5.4","0","1","16","199.7","12.5","0.0%"
"15","Dion Lewis (FA)","180","896","5.0","44","7","6","32","35","214","6.7","3","0","16","197.0","12.3","2.0%"
"16","Lamar Miller (FA)","238","888","3.7","21","1","3","36","45","327","9.1","3","0","16","193.5","12.1","0.0%"
"17","Jerick McKinnon (KC)","150","570","3.8","58","2","3","51","68","421","8.3","2","2","16","178.1","11.1","31.2%"
"18","C.J. Anderson (FA)","245","1,007","4.1","40","7","3","28","40","224","8.0","1","1","16","175.1","10.9","1.0%"
"19","Frank Gore (FA)","261","961","3.7","21","1","3","29","38","245","8.4","1","0","16","173.6","10.9","12.1%"
"20","DeMarco Murray (FA)","184","659","3.6","75","3","6","39","47","266","6.8","1","1","15","171.5","11.4","0.1%"
"21","Alex Collins (FA)","212","973","4.6","50","6","6","23","36","187","8.1","0","2","15","171.0","11.4","19.0%"
"22","Tevin Coleman (FA)","156","628","4.0","52","6","5","27","39","299","11.1","3","0","15","167.7","11.2","0.0%"
"23","Javorius Allen (FA)","153","591","3.9","37","1","4","46","60","250","5.4","2","0","16","166.1","10.4","0.1%"
"24","Marshawn Lynch (FA)","207","891","4.3","51","5","7","20","31","151","7.6","0","1","15","164.2","10.9","0.3%"
"25","Latavius Murray (BUF)","216","842","3.9","46","7","8","15","17","103","6.9","0","0","16","157.5","9.8","14.3%"
"26","Theo Riddick (FA)","84","286","3.4","21","1","3","53","71","444","8.4","2","1","16","154.0","9.6","0.0%"
"27","Giovani Bernard (FA)","105","458","4.4","25","5","2","43","60","389","9.0","2","0","16","151.7","9.5","0.0%"
"28","Chris Thompson (FA)","64","294","4.6","61","1","2","39","54","510","13.1","4","2","10","151.4","15.1","0.0%"
"29","Bilal Powell (FA)","178","772","4.3","75","9","5","23","33","170","7.4","0","1","15","145.2","9.7","0.0%"
"30","Tarik Cohen (CAR)","87","370","4.3","46","4","2","53","71","353","6.7","1","2","16","144.1","9.0","0.0%"
"31","Isaiah Crowell (FA)","206","853","4.1","59","5","2","28","42","182","6.5","0","1","16","143.5","9.0","0.1%"
"32","Jamaal Williams (NO)","153","556","3.6","25","1","4","25","34","262","10.5","2","0","16","142.8","8.9","20.2%"
"33","Kenyan Drake (FA)","133","644","4.8","66","7","3","32","48","239","7.5","1","2","16","142.3","8.9","0.2%"
"34","Joe Mixon (CIN)","178","626","3.5","25","2","4","30","34","287","9.6","0","2","14","141.3","10.1","98.8%"
"35","Orleans Darkwa (FA)","171","751","4.4","75","6","5","19","28","116","6.1","0","0","15","137.7","9.2","0.0%"
"36","Jay Ajayi (FA)","208","873","4.2","71","6","1","24","34","158","6.6","1","2","14","135.1","9.7","7.0%"
"37","Derrick Henry (TEN)","176","744","4.2","75","5","5","11","17","136","12.4","1","0","16","135.0","8.4","99.0%"
"38","James White (FA)","43","171","4.0","10","0","0","56","72","429","7.7","3","0","14","134.0","9.6","0.1%"
"39","Rex Burkhead (FA)","64","264","4.1","31","2","5","30","36","254","8.5","3","0","10","129.8","13.0","10.0%"
"40","Ameer Abdullah (LV)","165","552","3.3","34","5","4","25","35","162","6.5","1","1","14","124.4","8.9","1.0%"
"41","Matt Forte (FA)","103","381","3.7","20","1","2","37","45","293","7.9","1","1","12","120.4","10.0","19.1%"
"42","Jonathan Stewart (FA)","198","680","3.4","60","1","6","8","15","52","6.5","1","3","15","117.2","7.8","0.0%"
"43","Samaje Perine (DEN)","175","603","3.4","30","1","1","22","24","182","8.3","1","2","16","108.5","6.8","27.1%"
"44","LeGarrette Blount (FA)","173","766","4.4","68","7","2","8","8","50","6.3","1","1","16","107.6","6.7","0.1%"
"45","Austin Ekeler (LAC)","47","260","5.5","35","3","2","27","35","279","10.3","3","2","16","106.9","6.7","99.1%"
"46","Wayne Gallman Jr. (FA)","111","476","4.3","24","2","0","34","48","193","5.7","1","1","13","104.9","8.1","0.0%"
"47","Matt Breida (NYG)","105","465","4.4","33","2","2","21","36","180","8.6","1","0","16","103.5","6.5","2.6%"
"48","Marlon Mack (ARI)","93","358","3.8","35","6","3","21","33","225","10.7","1","0","14","103.3","7.4","0.0%"
"49","J.D. McKissic (FA)","46","187","4.1","30","1","1","34","46","266","7.8","2","0","13","97.3","7.5","0.0%"
"50","Corey Clement (FA)","74","321","4.3","28","2","4","10","15","123","12.3","2","0","16","92.4","5.8","0.1%"
"51","Rod Smith (FA)","55","232","4.2","45","1","4","19","23","202","10.6","1","0","15","92.4","6.2","0.0%"
"52","Ty Montgomery II (FA)","71","273","3.8","37","1","3","23","31","173","7.5","1","0","8","91.6","11.5","0.2%"
"53","Devontae Booker (FA)","79","299","3.8","26","1","1","30","38","275","9.2","0","1","13","91.4","7.0","0.0%"
"54","T.J. Yeldon (FA)","49","253","5.2","58","2","2","30","41","224","7.5","0","1","10","87.7","8.8","0.0%"
"55","Andre Ellington (FA)","20","55","2.8","14","0","1","39","59","369","9.5","0","0","12","87.4","7.3","0.1%"
"56","Jalen Richard (FA)","56","275","4.9","52","2","1","27","36","256","9.5","1","3","16","86.1","5.4","1.0%"
"57","Peyton Barber (FA)","108","423","3.9","34","1","3","16","19","114","7.1","0","1","16","85.7","5.4","1.0%"
"58","DeAndre Washington (FA)","57","153","2.7","11","0","2","34","45","197","5.8","1","1","15","85.0","5.7","11.0%"
"59","Chris Ivory (FA)","112","382","3.4","34","1","1","21","28","175","8.3","1","2","14","84.7","6.1","0.0%"
"60","Shane Vereen (FA)","45","164","3.6","17","0","0","44","53","253","5.8","0","0","16","83.7","5.2","0.0%"
"61","Aaron Jones (GB)","81","448","5.5","46","6","4","9","18","22","2.4","0","0","12","80.0","6.7","94.5%"
"62","Adrian Peterson (FA)","156","529","3.4","27","2","2","11","19","70","6.4","0","2","10","78.9","7.9","2.4%"
"63","Elijah McGuire (FA)","88","315","3.6","69","1","1","17","26","177","10.4","1","2","16","76.2","4.8","0.0%"
"64","Doug Martin (FA)","138","406","2.9","27","1","3","9","18","84","9.3","0","1","11","76.0","6.9","0.0%"
"65","Charles Sims (FA)","21","95","4.5","21","1","0","35","47","249","7.1","1","1","16","73.4","4.6","0.0%"
"66","Charcandrick West (FA)","18","72","4.0","21","1","2","27","34","150","5.6","2","0","13","73.2","5.6","0.0%"
"67","Alfred Morris (FA)","115","547","4.8","70","4","1","7","9","45","6.4","0","0","14","72.2","5.2","0.0%"
"68","Kyle Juszczyk (SF)","7","31","4.4","12","0","0","33","42","315","9.5","1","2","14","69.6","5.0","0.4%"
"69","Mike Gillislee (FA)","104","383","3.7","16","0","5","1","1","15","15.0","0","1","9","68.8","7.6","0.0%"
"70","Kerwynn Williams (FA)","120","426","3.6","25","2","1","10","15","93","9.3","0","0","16","67.9","4.2","0.0%"
"71","Jamaal Charles (FA)","69","296","4.3","19","0","1","23","28","129","5.6","0","2","14","67.5","4.8","0.1%"
"72","Dalvin Cook (BAL)","74","354","4.8","33","4","2","11","16","90","8.2","0","1","4","65.4","16.4","22.5%"
"73","Damien Williams (FA)","46","181","3.9","69","1","0","20","28","155","7.8","1","0","11","59.6","5.4","0.0%"
"74","Danny Woodhead (FA)","14","56","4.0","10","0","0","33","39","200","6.1","0","0","8","58.6","7.3","20.6%"
"75","D'Onta Foreman (CHI)","78","327","4.2","39","3","2","6","8","83","13.8","0","1","10","57.0","5.7","32.8%"
"76","Benny Cunningham Jr. (FA)","9","29","3.2","12","0","0","20","26","240","12.0","2","1","14","56.9","4.1","0.0%"
"77","Mike Davis (FA)","68","240","3.5","33","3","0","15","18","131","8.7","0","0","6","52.1","8.7","1.0%"
"78","Mike Tolbert (FA)","66","247","3.7","25","1","1","14","17","78","5.6","0","1","12","50.5","4.2","0.0%"
"79","Jacquizz Rodgers (FA)","64","244","3.8","36","1","1","9","11","74","8.2","0","0","16","46.8","2.9","0.0%"
