"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Christian McCaffrey","SF","11","RB1","1","","","1","","1.0"
"2","Saquon Barkley","NYG","11 ","RB2","2","","","2","","2.0"
"3","Ezekiel Elliott","NE","5","RB3","3","","","3","","3.0"
"4","Dalvin Cook","BAL","7","RB4","4","","","4","","4.8"
"5","Michael Thomas","NO","6","WR1","6","","","6","","5.0"
"6","Alvin Kamara","NO","6","RB5","5","","","5","","5.3"
"7","Derrick Henry","TEN","4","RB6","7","","","7","","7.3"
"8","Davante Adams","LV","6","WR2","14","","","13","","11.3"
"9","Josh Jacobs","LV","6","RB7","9","","","12","","12.0"
"10","Joe Mixon","CIN","9","RB8","22","","","9","","12.8"
"11","Clyde Edwards-Helaire","KC","10","RB9","8","","","8","","14.0"
"12","Miles Sanders","CAR","13","RB10","12","","","10","","14.0"
"13","Austin Ekeler","LAC","6","RB11","21","","","11","","14.3"
"14","Tyreek Hill","MIA","7","WR3","13","","","17","","14.8"
"15","Nick Chubb","CLE","9","RB12","10","","","18","","15.0"
"16","Kenyan Drake","","","RB13","16","","","14","","15.0"
"17","Julio Jones","PHI","9","WR4","15","","","20","","15.3"
"18","DeAndre Hopkins","TEN","4","WR5","19","","","15","","15.5"
"19","Aaron Jones","GB","5","RB14","18","","","16","","18.3"
"20","Travis Kelce","KC","10","TE1","20","","","19","","18.8"
"21","Patrick Mahomes II","KC","10","QB1","11","","","22","","20.0"
"22","Chris Godwin","TB","13","WR6","24","","","23","","20.8"
"23","Lamar Jackson","BAL","7","QB2","17","","","21","","21.0"
"24","George Kittle","SF","11","TE2","23","","","25","","23.3"
"25","Kenny Golladay","","","WR7","27","","","27","","26.0"
"26","Mike Evans","TB","13","WR8","25","","","31","","27.0"
"27","Chris Carson","","","RB15","31","","","24","","30.3"
"28","DJ Moore","CHI","11","WR9","29","","","30","","30.3"
"29","Todd Gurley II","","","RB16","32","","","28","","30.8"
"30","Allen Robinson II","PIT","4","WR10","34","","","35","","32.0"
"31","dell Beckham Jr.","BAL","7 O","WR11","33","","","34","","32.0"
"32","Adam Thielen","CAR","13","WR12","26","","","36","","32.3"
"33","JuJu Smith-Schuster","NE","5","WR13","30","","","40","","33.8"
"34","James Conner","ARI","8","RB17","41","","","26","","34.8"
"35","Amari Cooper","CLE","9","WR14","28","","","43","","35.3"
"36","David Johnson","","","RB18","37","","","29","","35.3"
"37","Le'Veon Bell","","","RB19","46","","","32","","37.8"
"38","Cooper Kupp","LAR","9","WR15","43","","","33","","38.0"
"39","Melvin Gordon III","BAL","7","RB20","48","","","37","","40.5"
"40","Zach Ertz","DET","5","TE3","38","","","45","","42.0"
"41","Mark Andrews","BAL","7","TE4","36","","","46","","42.3"
"42","A.J. Brown","PHI","9","WR16","44","","","42","","42.3"
"43","Jonathan Taylor","IND","7","RB21","51","","","38","","42.8"
"44","Calvin Ridley","JAC","8","WR17","40","","","49","","43.0"
"45","Robert Woods","HOU","8","WR18","45","","","51","","46.0"
"46","Courtland Sutton","DEN","5 ","WR19","39","","","48","","46.5"
"47","Keenan Allen","LAC","6","WR20","52","","","54","","50.5"
"48","Tyler Lockett","SEA","6","WR21","42","","","64","","51.0"
"49","DK Metcalf","SEA","6","WR22","54","","","47","","51.3"
"50","Devin Singletary","HOU","8","RB22","66","","","41","","53.8"
"51","Dak Prescott","DAL","10 ","QB3","49","","","55","","53.8"
"52","DJ Chark Jr.","CAR","13","WR23","60","","","57","","54.3"
"53","Raheem Mostert","MIA","7 ","RB23","65","","","39","","54.8"
"54","Cam Akers","MIN","7","RB24","56","","","44","","54.8"
"55","Mark Ingram II","","","RB25","64","","","52","","55.0"
"56","Terry McLaurin","WAS","8","WR24","57","","","60","","56.8"
"57","T.Y. Hilton","","","WR25","55","","","63","","57.0"
"58","Darren Waller","NYG","11","TE5","53","","","61","","57.3"
"59","Kareem Hunt","CLE","9","RB26","58","","","53","","58.0"
"60","Kyler Murray","ARI","8","QB4","50","","","59","","58.5"
"61","Deshaun Watson","CLE","9","QB5","35","","","67","","59.0"
"62","Leonard Fournette","","","RB27","68","","","50","","59.3"
"63","Russell Wilson","DEN","5","QB6","47","","","65","","59.5"
"64","DeVante Parker","NE","5","WR26","71","","","62","","62.3"
"65","Stefon Diggs","BUF","11","WR27","63","","","69","","63.0"
"66","David Montgomery","DET","5","RB28","73","","","58","","63.8"
"67","D'Andre Swift","PHI","9","RB29","69","","","66","","65.8"
"68","Marquise Brown","ARI","8","WR28","75","","","68","","69.8"
"69","A.J. Green","","","WR29","70","","","79","","70.0"
"70","Jarvis Landry","","","WR30","59","","","80","","73.0"
"71","Evan Engram","JAC","8","TE6","62","","","77","","73.5"
"72","Tyler Boyd","CIN","9","WR31","78","","","70","","73.8"
"73","Michael Gallup","DAL","10","WR32","72","","","78","","74.8"
"74","William Fuller V ","","","WR33","80","","","72","","75.5"
"75","Julian Edelman","","","WR34","79","","","75","","76.0"
"76","Rob Gronkowski","","","TE7","67","","","81","","78.8"
"77","James White","","","RB30","101","","","71","","80.8"
"78","Tom Brady","","","QB7","61","","","82","","81.5"
"79","Tyler Higbee","LAR","9","TE8","74","","","89","","83.5"
"80","Drew Brees","","","QB8","76","","","97","","83.8"
"81","Matt Ryan","","","QB9","82","","","87","","84.8"
"82","Deebo Samuel","SF","11","WR35","85","","","93","","85.3"
"83","J.K. Dobbins","BAL","7","RB31","99","","","73","","85.8"
"84","Hunter Henry","NE","5","TE9","91","","","86","","86.5"
"85","Tarik Cohen","CAR","13 ","RB32","87","","","76","","86.5"
"86","Brandin Cooks","DAL","10","WR36","92","","","91","","87.5"
"87","Ronald Jones II","","","RB33","97","","","94","","88.5"
"88","Phillip Lindsay","","","RB34","94","","","85","","88.8"
"89","Marvin Jones Jr.","","","WR37","88","","","90","","90.0"
"90","Jordan Howard","","","RB35","103","","","74","","91.3"
"91","Josh Allen","BUF","11","QB10","98","","","99","","93.8"
"92","Aaron Rodgers","NYJ","10","QB11","93","","","109","","97.5"
"93","Marlon Mack","ARI","8 ","RB36","130","","","83","","99.3"
