"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"94","Kerryon Johnson","","","RB37","96","","","108","","99.8"
"95","Matt Breida","NYG","11","RB38","114","","","100","","100.5"
"96","Diontae Johnson","PIT","4","WR38","102","","","92","","100.5"
"97","Antonio Gibson","WAS","8","RB39","77","","","56","","101.0"
"98","Christian Kirk","JAC","8","WR39","112","","","95","","102.5"
"99","Zack Moss","IND","7 ","RB40","109","","","84","","103.5"
"100","CeeDee Lamb","DAL","10","WR40","113","","","101","","104.5"
"101","Jamison Crowder","WAS","8","WR41","110","","","111","","104.8"
"102","Carson Wentz","LAR","9","QB12","104","","","105","","105.3"
"103","Jared Cook","","","TE10","86","","","123","","105.5"
"104","Sterling Shepard","NYG","11","WR42","95","","","117","","105.5"
"105","Hayden Hurst","CAR","13","TE11","115","","","96","","106.3"
"106","Emmanuel Sanders","","","WR43","116","","","104","","106.5"
"107","San Francisco 49ers","DST","11","DST1","83","","","112","","107.5"
"108","Latavius Murray","BUF","11","RB41","131","","","88","","107.5"
"109","Matthew Stafford","LAR","9","QB13","117","","","107","","110.5"
"110","Sony Michel","","","RB42","148","","","98","","112.3"
"111","Tevin Coleman","","","RB43","127","","","106","","113.5"
"112","Jerry Jeudy","DEN","5","WR44","118","","","118","","114.8"
"113","Darius Slayton","NYG","11","WR45","129","","","113","","115.0"
"114","Noah Fant","SEA","6","TE12","108","","","115","","115.0"
"115","Pittsburgh Steelers","DST","4","DST2","81","","","122","","115.3"
"116","Henry Ruggs III","","","WR46","111","","","119","","116.5"
"117","John Brown","","","WR47","126","","","102","","117.0"
"118","Alexander Mattison","MIN","7","RB44","135","","","121","","121.8"
"119","Austin Hooper","LV","6","TE13","136","","","124","","122.0"
"120","Baltimore Ravens","DST","7","DST3","100","","","125","","123.8"
"121","Justin Jefferson","MIN","7","WR48","145","","","114","","125.0"
"122","Preston Williams","","","WR49","121","","","132","","128.3"
"123","Buffalo Bills","DST","11","DST4","84","","","139","","128.5"
"124","Darrell Henderson Jr.","","","RB45","124","","","150","","128.8"
"125","Daniel Jones","NYG","11","QB14","141","","","127","","131.3"
"126","Duke Johnson Jr.","","","RB46","138","","","128","","131.5"
"127","Mecole Hardman Jr.","KC","10","WR50","139","","","134","","133.0"
"128","Ben Roethlisberger","","","QB15","142","","","130","","133.8"
"129","Justin Tucker","BAL","7","K1","90","","","135","","134.0"
"130","T.J. Hockenson","MIN","7","TE14","125","","","137","","134.8"
"131","Boston Scott","PHI","9","RB47","169","","","116","","135.0"
"132","Harrison Butker","KC","10","K2","89","","","141","","135.8"
"133","Tony Pollard","DAL","10","RB48","154","","","131","","136.5"
"134","Golden Tate","","","WR51","122","","","156","","137.3"
"135","Robbie Chosen","MIA","7","WR52","128","","","129","","138.8"
"136","Anthony Miller","KC","10","WR53","162","","","146","","139.3"
"137","Mike Gesicki","NE","5","TE15","143","","","140","","139.3"
"138","Chase Edmonds","TB","13","RB49","164","","","126","","139.8"
"139","DeSean Jackson","","","WR54","137","","","147","","141.5"
"140","New England Patriots","DST","5","DST5","107","","","149","","142.0"
"141","Jared Goff","DET","5","QB16","153","","","136","","143.5"
"142","Chicago Bears","DST","11","DST6","123","","","155","","146.3"
"143","Baker Mayfield","TB","13","QB17","165","","","145","","148.3"
"144","Wil Lutz","DEN","5","K3","105","","","152","","149.0"
"145","Nyheim Hines","BUF","11","RB50","170","","","142","","149.5"
"146","Joe Burrow","CIN","9 ","QB18","146","","","166","","149.5"
"147","Mike Williams","LAC","6","WR55","149","","","164","","149.8"
"148","Sammy Watkins","","","WR56","156","","","177","","153.5"
"149","Ryquell Armstead ","","","RB51","202","","","103","","156.8"
"150","Ryan Tannehill","TEN","4","QB19","163","","","165","","157.5"
"151","Cam Newton","","","QB20","106","","","133","","159.5"
"152","Minnesota Vikings","DST","7","DST7","133","","","168","","160.0"
"153","Jonnu Smith","ATL","10","TE16","185","","","154","","160.3"
"154","Jalen Reagor","NE","5","WR57","198","","","172","","160.5"
"155","Greg Zuerlein","NYJ","10","K4","132","","","160","","161.5"
"156","Jack Doyle","","","TE17","166","","","161","","161.5"
"157","Chris Herndon IV","","","TE18","159","","","153","","161.8"
"158","N'Keal Harry","MIN","7","WR58","147","","","187","","163.3"
"159","Jimmy Garoppolo","LV","6 ","QB21","152","","","169","","163.5"
"160","Allen Lazard","NYJ","10","WR59","183","","","163","","165.3"
"161","Blake Jarwin ","","","TE19","184","","","158","","165.5"
"162","Breshad Perriman","","","WR60","151","","","193","","166.8"
"163","Brandon Aiyuk","SF","11","WR61","192","","","148","","167.5"
"164","Michael Pittman Jr.","IND","7","WR62","205","","","157","","168.0"
"165","Justin Jackson","","","RB52","188","","","159","","168.3"
"166","Adrian Peterson","","","RB53","194","","","199","","168.5"
"167","AJ Dillon","GB","5","RB54","217","","","173","","169.5"
"168","Damien Harris","BUF","11","RB55","181","","","151","","170.8"
"169","New Orleans Saints","DST","6","DST8","144","","","167","","172.8"
"170","Robbie Gould","","","K5","134","","","174","","174.0"
"171","Chris Thompson","","","RB56","155","","","110","","174.5"
"172","Darrel Williams","","","RB57","207","","","144","","174.5"
"173","Philip Rivers","","","QB22","190","","","191","","177.3"
"174","Parris Campbell","NYG","11 ","WR63","174","","","178","","177.8"
"175","Gardner Minshew II","IND","7","QB23","187","","","183","","181.0"
"176","Drew Lock","SEA","6","QB24","180","","","184","","181.8"
"177","Larry Fitzgerald","","","WR64","161","","","211","","182.8"
"178","Kansas City Chiefs","DST","10","DST9","176","","","179","","183.8"
"179","Zane Gonzalez","","","K6","158","","","170","","185.3"
"180","Los Angeles Chargers","DST","6","DST10","179","","","190","","187.5"
"181","Los Angeles Rams","DST","9","DST11","197","","","175","","189.5"
"182","Matt Prater","ARI","8","K7","120","","","221","","189.8"
"183","Indianapolis Colts","DST","7","DST12","119","","","200","","194.0"
"184","Tampa Bay Buccaneers","DST","13","DST13","160","","","213","","202.5"
"185","Younghoe Koo","ATL","10","K8","175","","","182","","204.5"
"186","Jake Elliott","PHI","9","K9","168","","","217","","206.3"
"187","Eric Ebron","","","TE20","167","","","120","","146.0"
"188","Matt Gay","IND","7","K10","195","","","242","","208.0"
"189","Dallas Goedert","PHI","9","TE21","178","","","138","","149.0"
"190","Philadelphia Eagles","DST","9","DST14","199","","","215","","210.0"
"191","Seattle Seahawks","DST","6","DST15","172","","","249","","210.8"
"192","Benny Snell Jr.","","","RB58","219","","","201","","213.0"
"193","Chris Boswell","PIT","4","K11","140","","","238","","214.5"
"194","Curtis Samuel","WAS","8","WR65","157","","","162","","158.3"
"195","Dan Bailey","","","K12","209","","","195","","216.8"
"196","Ke'Shawn Vaughn","NE","5","RB59","","","","226","","162.3"
"197","Jerick McKinnon","KC","10","RB60","224","","","196","","220.3"
"198","Ka'imi Fairbairn","HOU","8","K13","213","","","234","","220.8"
"199","Kirk Cousins","MIN","7","QB25","173","","","180","","166.7"
"200","Alshon Jeffery","","","WR66","196","","","186","","167.0"
"201","Bryan Edwards","","","WR67","379","","","194","","239.8"
"202","Teddy Bridgewater","DET","5","QB26","191","","","204","","191.3"
"203","Joshua Kelley","LAC","6","RB61","","","","185","","193.7"
"204","Ryan Succop","","","K14","212","","","206","","243.3"
"205","Denver Broncos","DST","5","DST16","150","","","220","","197.0"
"206","Bryce Love","","","RB62","","","","143","","199.7"
"207","Randall Cobb","NYJ","10","WR68","186","","","208","","202.7"
"208","Greg Olsen","","","TE22","200","","","209","","202.7"
"209","Derek Carr","NO","6","QB27","204","","","198","","203.3"
"210","Irv Smith Jr.","CIN","9","TE23","211","","","218","","206.3"
"211","Carlos Hyde","","","RB63","","","","188","","209.0"
"212",".J. Howard O","","","TE24","214","","","203","","209.0"
"213","Cole Beasley","","","WR69","220","","","205","","211.3"
"214","Kyle Rudolph","","","TE25","193","","","236","","212.0"
"215","LeSean McCoy","","","RB64","221","","","241","","214.0"
"216","Tennessee Titans","DST","4","DST17","182","","","223","","214.3"
"217","Devonta Freeman","","","RB65","229","","","192","","214.3"
"218","Sam Darnold","SF","11","QB28","241","","","244","","218.3"
"219","Dallas Cowboys","DST","10","DST18","171","","","229","","218.7"
"220","Mason Crosby","NYG","11","K15","189","","","231","","223.3"
"221","Antonio Brown","","","WR70","243","","","266","","224.3"
"222","Jason Myers","SEA","6","K16","230","","","210","","239.7"
"223","Brandon McManus","JAC","8","K17","216","","","246","","240.7"
"224","Jimmy Graham","NO","6","TE26","203","","","262","","241.0"
"225","Hunter Renfrow","LV","6","WR71","","","","181","","168.0"
"226","Washington Commanders","DST","8","DST19","226","","","273","","243.7"
"227","James Robinson","NO","6","RB66","215","","","171","","245.7"
"228","Jamaal Williams","NO","6","RB67","","","","176","","174.0"
"229","Stephen Gostkowski","","","K18","208","","","237","","247.7"
"230","Will Dissly","SEA","6","TE27","231","","","250","","247.7"
"231","Green Bay Packers","DST","5","DST20","218","","","280","","250.3"
"232","Devine Ozigbo","","","RB68","206","","","202","","250.7"
"233","Denzel Mims","PIT","4","WR72","","","","189","","181.0"
"234","Tua Tagovailoa","MIA","7","QB29","201","","","268","","254.3"
"235","Ian Thomas","CAR","13","TE28","","","","222","","191.5"
"236","Dwayne Haskins","","","QB30","236","","","275","","261.3"
"237","Josh Lambo ","","","K19","223","","","257","","261.7"
"238","Tee Higgins","CIN","9","WR73","","","","214","","201.5"
"239","Rodrigo Blankenship","","","K20","177","","","245","","266.0"
"240","Darrynton Evans","BUF","11","RB69","","","","212","","204.0"
"241","Tyler Eifert","","","TE29","232","","","263","","268.0"
"242","James Washington","","","WR74","","","","230","","211.5"
"243","Dede Westbrook ","","","WR75","","","","259","","212.0"
"244","Corey Davis","","","WR76","","","","243","","213.0"
"245","Devin Asiasi","TEN","4","TE30","292","","","271","","272.7"
"246","Houston Texans","DST","8","DST21","234","","","286","","273.0"
"247","Jace Sternberger","","","TE31","298","","","270","","273.0"
"248","Rashaad Penny","PHI","9","RB70","","","","255","","218.0"
"249","Jalen Richard","","","RB71","","","","197","","221.5"
"250","Laviska Shenault Jr.","CAR","13","WR77","","","","219","","221.5"
"251","Mitch Trubisky","PIT","4","QB31","235","","","281","","278.3"
"252","Brian Hill","","","RB72","","","","216","","222.5"
"253","Cole Kmet","CHI","11","TE32","237","","","288","","281.0"
"254","Anthony McFarland Jr.","PIT","4","RB73","","","","235","","226.5"
"255","Malcolm Brown","","","RB74","","","","239","","229.0"
"256","Atlanta Falcons","DST","10","DST22","244","","","","","229.5"
"257","Kenny Stills","","","WR78","","","","256","","230.5"
"258","Giovani Bernard","","","RB75","","","","265","","234.5"
"259","Chase Claypool","MIA","7","WR79","","","","227","","235.5"
"260","Jacksonville Jaguars","DST","8","DST23","262","","","279","","288.0"
"261","Dion Lewis","","","RB76","","","","232","","238.5"
"262","Ito Smith","","","RB77","","","","207","","239.0"
"263","Austin Seibert","NYJ","10","K21","222","","","","","241.5"
"264","Jaylen Samuels","","","RB78","","","","240","","243.5"
"265","Dawson Knox","BUF","11","TE33","","","","261","","244.5"
"266","Jalen Hurts","PHI","9","QB32","265","","","","","245.5"
"267","Tyrod Taylor","NYG","11","QB33","","","","254","","247.5"
"268","Lynn Bowden Jr.","NO","6","WR80","","","","282","","251.0"
"269","David Njoku","CLE","9","TE34","252","","","","","253.0"
"270","Ryan Fitzpatrick","","","QB34","","","","272","","253.5"
"271","Royce Freeman","LAR","9","RB79","","","","278","","255.5"
"272","Peyton Barber","","","RB80","","","","225","","259.0"
"273","Rex Burkhead ","","","RB81","","","","233","","259.5"
"274","Detroit Lions","DST","5","DST24","","","","284","","260.0"
"275","Joey Slye","WAS","8","K22","","","","253","","262.5"
"276","New York Jets","DST","10","DST25","","","","292","","263.0"
"277","C.J. Uzomah","NYJ","10 ","TE35","","","","289","","263.0"
"278","Frank Gore","","","RB82","","","","251","","264.0"
"279","Cleveland Browns","DST","9","DST26","429","","","267","","319.7"
"280","Vance McDonald","","","TE36","253","","","","","267.0"
"281","Tre'Quan Smith","DEN","5","WR81","","","","269","","268.5"
"282","Stephen Hauschka","","","K23","255","","","","","272.5"
"283","Steven Sims Jr.","HOU","8","WR82","","","","248","","274.0"
"284","Gerald Everett","LAC","6","TE37","","","","283","","276.5"
"285","Tyler Bass","BUF","11","K24","333","","","252","","315.0"
"286","Josh Gordon","","","WR83","356","","","","","278.5"
"287","Dustin Hopkins","CLE","9","K25","228","","","","","278.5"
"288","La'Mical Perine","KC","10","RB83","","","","264","","280.0"
"289","Michael Badgley","DET","5","K26","322","","","","","282.0"
"290","Jason Sanders","MIA","7","K27","263","","","","","282.0"
"291","Nelson Agholor","BAL","7","WR84","","","","276","","285.5"
"292","Kendrick Bourne","NE","5","WR85","419","","","260","","330.0"
"293","John Ross","","","WR86","","","","","","182.0"
"294","J.D. McKissic","","","RB84","","","","224","","287.0"
"295","Jameis Winston","NO","6","QB35","233","","","","","287.5"
"296","Marquez Valdes-Scantling","KC","10","WR87","","","","258","","287.5"
"297","Auden Tate ","","","WR88","","","","287","","288.0"
"298","Darwin Thompson","","","RB85","","","","290","","291.0"
"299","Lamar Miller","","","RB86","","","","","","195.0"
"300","Taysom Hill","NO","6","TE38","210","","","","","294.0"
"301","Daniel Carlson","LV","6","K28","254","","","","","294.5"
"302","Arizona Cardinals","DST","8","DST27","247","","","","","296.0"
"303","Cameron Brate","","","TE39","281","","","","","296.5"
"304","Russell Gage","TB","13","WR89","","","","285","","296.5"
"305","Carolina Panthers","DST","13","DST28","227","","","","","297.5"
"306","Scott Miller","ATL","10","WR90","","","","247","","297.5"
"307","Justice Hill","BAL","7","RB87","","","","","","206.0"
"308","Mike Davis","","","RB88","","","","228","","299.0"
"309","Eddy Pineiro","CAR","13","K29","266","","","","","299.0"
"310","Sam Ficken","","","K30","277","","","","","299.5"
"311","Cincinnati Bengals","DST","9","DST29","","","","","","211.0"
"312","Jason Witten","","","TE40","238","","","","","301.0"
"313","New York Giants","DST","11","DST30","240","","","","","301.0"
"314","Devin Duvernay","BAL","7","WR91","","","","","","213.0"
"315","Van Jefferson","ATL","10","WR92","","","","274","","302.0"
"316","Willie Snead IV","SF","11","WR93","","","","","","217.0"
"317","Jordan Reed","","","TE41","261","","","","","304.0"
"318","Darren Fells","","","TE42","","","","291","","305.5"
"319","Mohamed Sanu Sr.","","","WR94","","","","","","223.0"
"320","Colin Kaepernick","","","QB36","225","","","","","225.0"
"321","J.J. Arcega-Whiteside","","","WR95","","","","293","","308.5"
"322","Dan Arnold","","","TE43","","","","277","","310.0"
"323","Jacob Hollister","","","TE44","308","","","","","312.0"
"324","Nick Foles","","","QB37","324","","","","","313.5"
"325","Mike Thomas","","","WR96","239","","","","","239.0"
"326","Las Vegas Raiders","DST","6","DST31","242","","","","","242.0"
"327","Marshawn Lynch","","","RB89","245","","","","","245.0"
"328","Kyle Juszczyk","SF","11","RB90","297","","","","","318.0"
"329","Justin Rohrwasser","","","K31","246","","","","","246.0"
"330","Danny Amendola","","","WR97","","","","","","248.0"
"331","Nick Folk","TEN","4","K32","249","","","","","249.0"
"332","Adam Vinatieri","","","K33","250","","","","","250.0"
"333","Max McCaffrey","","","WR98","251","","","","","251.0"
"334","Andy Isabella","BUF","11","WR99","","","","","","252.0"
"335","Andrew Luck","","","QB38","256","","","","","256.0"
"336","Josh Reynolds","DET","5","WR100","","","","","","257.0"
"337","Patrick Ricard","BAL","7","RB91","257","","","","","257.0"
"338","Isaiah Wright","","","WR101","258","","","","","258.0"
"339","Mark Sanchez","","","QB39","259","","","","","259.0"
"340","Jake Butt","","","TE45","260","","","","","260.0"
"341","Javon Leake","","","RB92","264","","","","","264.0"
"342","Nathan Peterman","CHI","11","QB40","267","","","","","267.0"
"343","Malik Taylor","NYJ","10","WR102","268","","","","","268.0"
"344","John Wolford","TB","13","QB41","269","","","","","269.0"
"345","Sebastian Janikowski","","","K34","270","","","","","270.0"
"346","Nick Boyle ","","","TE46","272","","","","","272.0"
"347","Tyre Brady","","","WR103","273","","","","","273.0"
"348","Cody Parkey","","","K35","274","","","","","274.0"
"349","Robert Griffin III","","","QB42","275","","","","","275.0"
"350","Chris Conley","SF","11","WR104","","","","","","275.0"
"351","Gus Edwards","BAL","7","RB93","","","","","","276.0"
"352","Noah Togiai","PHI","9","TE47","276","","","","","276.0"
"353","Jordan Love","GB","5","QB43","305","","","","","334.0"
"354","Graham Gano","NYG","11","K36","310","","","","","334.0"
"355","KJ Hamler","BUF","11","WR105","","","","","","278.0"
"356","Cole McDonald","","","QB44","278","","","","","278.0"
"357","Matt Barkley","JAC","8","QB45","279","","","","","279.0"
"358","Kai Forbath","LAR","9","K37","280","","","","","280.0"
"359","Derek Watt","","","RB94","282","","","","","282.0"
"360","Justin Watson","KC","10","WR106","293","","","","","336.5"
"361","Anthony Gordon","","","QB46","283","","","","","283.0"
"362","Eno Benjamin","NO","6","RB95","","","","","","283.0"
"363","Miles Boykin","PIT","4","WR107","","","","","","284.0"
"364","Randy Bullock","NYG","11","K38","","","","","","285.0"
"365","Jared Pinkney","","","TE48","285","","","","","285.0"
"366","Mike Nugent","","","K39","286","","","","","286.0"
"367","Jarrett Stidham","DEN","5","QB47","","","","","","287.0"
"368","J.J. Taylor","HOU","8","RB96","287","","","","","287.0"
"369","J.J. Jones","","","WR108","288","","","","","288.0"
"370","Justin Herbert","LAC","6","QB48","","","","","","288.0"
"371","Xavier Jones","","","RB97","289","","","","","289.0"
"372","Dez Bryant","","","WR109","290","","","","","290.0"
"373","Zach Pascal","ARI","8","WR110","","","","","","291.0"
"374","Will Hastings","","","WR111","291","","","","","291.0"
"375","Rico Dowdle","DAL","10","RB98","295","","","","","295.0"
"376","Sean McKeon","DAL","10","TE49","296","","","","","296.0"
"377","Cordarrelle Patterson","ATL","10","RB99","312","","","","","343.5"
"378","Derrius Guice","","","RB100","299","","","","","344.0"
"379","David Moore","TB","13","WR112","300","","","","","300.0"
"380","Anthony Sherman","","","RB101","301","","","","","301.0"
"381","Josh Hill","","","TE50","302","","","","","302.0"
"382","Darius Anderson","","","RB102","303","","","","","303.0"
"383","Matt Bryant","","","K40","304","","","","","304.0"
"384","Terry Godwin","","","WR113","306","","","","","306.0"
"385","Mason Rudolph","PIT","4","QB49","363","","","","","348.5"
"386","Adam Humphries","","","WR114","","","","","","307.0"
"387","Ricky Seals-Jones","","","TE51","307","","","","","307.0"
"388","Jamaal Charles","","","RB103","309","","","","","309.0"
"389","Phillip Dorsett II","DEN","5","WR115","","","","","","310.0"
"390","Tyree Jackson","NYG","11","TE52","311","","","","","311.0"
"391","Trishton Jackson","MIN","7","WR116","313","","","","","313.0"
"392","Adrian Killins Jr.","","","RB104","314","","","","","314.0"
"393","Sam Sloman","","","K41","","","","","","314.0"
"394","Rashard Higgins","","","WR117","334","","","","","352.5"
"395","Blake Bell","KC","10","TE53","315","","","","","315.0"
"396","Patrick Laird","TB","13","RB105","469","","","","","392.0"
"397","Andy Dalton","CAR","13","QB50","316","","","","","316.0"
"398","Aldrick Rosas","","","K42","376","","","","","353.5"
"399","Thaddeus Moss","","","TE54","317","","","","","317.0"
"400","Delanie Walker","","","TE55","318","","","","","318.0"
"401","Dan Chisena","BAL","7","WR118","319","","","","","319.0"
"402","Sam Bradford","","","QB51","320","","","","","320.0"
"403","Albert kwuegbunam","PHI","9 O","TE56","327","","","","","355.5"
"404","Deonte Harty","BUF","11","WR119","329","","","","","355.5"
"405","Marcedes Lewis","CHI","11","TE57","321","","","","","321.0"
"406","Demarcus Robinson","LAR","9","WR120","","","","","","321.0"
"407","Lil'Jordan Humphrey","DEN","5","WR121","323","","","","","323.0"
"408","Joe Flacco","CLE","9","QB52","325","","","","","325.0"
"409","Dare Ogunbowale","HOU","8","RB106","","","","","","325.0"
"410","Brandon Marshall","","","WR122","326","","","","","326.0"
"411","Mike Boone","CAR","13","RB107","","","","","","326.0"
"412","Marcus Mariota","PHI","9","QB53","","","","","","327.0"
"413","Tajae Sharpe","","","WR123","","","","","","328.0"
"414","Carson Meier","","","TE58","328","","","","","328.0"
"415","Jeff Thomas","","","WR124","330","","","","","330.0"
"416","KJ Hill Jr.","","","WR125","331","","","","","331.0"
"417","Jordan Chunn","","","RB108","332","","","","","332.0"
"418","Logan Thomas","WAS","8","TE59","","","","","","333.0"
"419","Jon Hilliman","","","RB109","335","","","","","335.0"
"420","Jordy Nelson","","","WR126","336","","","","","336.0"
"421","Antonio Gandy-Golden","","","WR127","","","","","","336.0"
"422","Dalton Schultz","HOU","8","TE60","337","","","","","337.0"
"423","Jakobi Meyers","LV","6","WR128","","","","","","337.0"
"424","Byron Pringle","WAS","8","WR129","338","","","","","338.0"
"425","Kaden Smith","","","TE61","427","","","","","382.5"
"426","Harrison Bryant","CLE","9","TE62","339","","","","","339.0"
"427","Adam Trautman","DEN","5","TE63","369","","","","","365.0"
"428","Greg Ward","PHI","9","WR130","","","","","","340.0"
"429","Donovan Peoples-Jones","DET","5","WR131","340","","","","","340.0"
"430","Miami Dolphins","DST","7","DST32","","","","","","341.0"
"431","Reggie Begelton","","","WR132","341","","","","","341.0"
"432","Jesse James","","","TE64","342","","","","","342.0"
"433","Jake Fromm","WAS","8","QB54","343","","","","","343.0"
"434","Riley Ridley","","","WR133","344","","","","","344.0"
"435","Demetrius Harris","","","TE65","352","","","","","367.5"
"436","T.J. Yeldon","","","RB110","382","","","","","367.5"
"437","Colt McCoy","","","QB55","345","","","","","345.0"
"438","Phil Dawson","","","K43","346","","","","","346.0"
"439","Elliott Fry","","","K44","","","","","","346.0"
"440","Jeremy Sprinkle","","","TE66","347","","","","","347.0"
"441","Cairo Santos","CHI","11","K45","348","","","","","348.0"
