"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","83","122","1,038","12.5","44","19","8","2","7","0","0","15","233.5","15.6","99.3%"
"2","Rob Gronkowski (FA)","69","105","1,084","15.7","53","18","8","0","0","0","0","14","227.4","16.2","1.5%"
"3","Zach Ertz (DET)","74","110","824","11.1","53","7","8","0","0","0","1","14","202.4","14.5","10.9%"
"4","Delanie Walker (FA)","74","111","807","10.9","42","9","3","2","-2","1","2","16","174.5","10.9","0.1%"
"5","Evan Engram (JAC)","64","115","722","11.3","35","11","6","1","14","0","0","15","173.6","11.6","96.7%"
"6","Jimmy Graham (NO)","57","96","520","9.1","33","8","10","0","0","0","0","16","171.0","10.7","0.2%"
"7","Jack Doyle (FA)","80","108","690","8.6","26","4","4","0","0","0","2","15","169.0","11.3","2.0%"
"8","Kyle Rudolph (FA)","57","81","532","9.3","34","4","8","0","0","0","0","16","158.2","9.9","0.0%"
"9","Jason Witten (FA)","63","87","560","8.9","28","3","5","0","0","0","1","16","147.0","9.2","0.0%"
"10","Cameron Brate (FA)","48","77","591","12.3","35","5","6","0","0","0","0","16","143.1","8.9","2.0%"
"11","Benjamin Watson (FA)","61","79","522","8.6","33","5","4","0","0","0","0","16","137.2","8.6","2.8%"
"12","Jared Cook (FA)","54","86","688","12.7","35","10","2","0","0","0","1","16","132.8","8.3","0.0%"
"13","Eric Ebron (FA)","53","86","574","10.8","44","6","4","0","0","0","1","16","132.4","8.3","0.0%"
"14","Hunter Henry (NE)","45","62","579","12.9","34","8","4","0","0","0","0","14","126.9","9.1","21.9%"
"15","Tyler Kroft (MIA)","42","62","404","9.6","59","4","7","0","0","0","0","16","124.4","7.8","0.1%"
"16","Vernon Davis (FA)","43","69","648","15.1","69","11","3","0","0","0","2","16","121.8","7.6","1.6%"
"17","Austin Hooper (LV)","49","65","526","10.7","88","5","3","0","0","0","0","16","119.6","7.5","0.4%"
"18","Charles Clay (FA)","49","74","558","11.4","44","7","2","0","0","0","0","13","116.8","9.0","0.0%"
"19","George Kittle (SF)","43","63","515","12.0","44","8","2","0","0","0","0","15","106.5","7.1","98.0%"
