"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"133","Jake Fisher (FA)","1","1","12","12.0","12","0","0","0","0","0","1","15","0.0","0.0","0.0%"
"134","Khari Lee (FA)","0","1","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"135","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"136","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"137","Dillon Gordon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"139","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"140","Thomas Duarte (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Braedon Bowman (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"142","Temarrick Hemingway (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"143","Hakeem Valles (FA)","0","2","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"144","Ryan O'Malley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
