"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","97","136","1,229","12.7","47","21","5","1","4","1","1","16","254.3","15.9","99.3%"
"2","George Kittle (SF)","85","107","1,053","12.4","61","25","5","5","22","0","0","14","222.5","15.9","98.0%"
"3","Darren Waller (NYG)","90","117","1,145","12.7","75","23","3","2","5","0","1","16","221.0","13.8","70.9%"
"4","Zach Ertz (DET)","88","135","916","10.4","30","13","6","0","0","0","1","15","215.6","14.4","10.9%"
"5","Mark Andrews (BAL)","64","98","852","13.3","51","25","10","0","0","0","1","15","207.2","13.8","51.0%"
"6","Austin Hooper (LV)","75","97","787","10.5","35","11","6","0","0","0","0","13","191.7","14.7","0.4%"
"7","Jared Cook (FA)","43","65","705","16.4","61","23","9","0","0","0","0","14","167.5","12.0","0.0%"
"8","Tyler Higbee (LAR)","69","89","734","10.6","33","13","3","0","0","0","0","15","160.4","10.7","37.9%"
"9","Hunter Henry (NE)","55","76","652","11.9","30","9","5","0","0","0","1","12","150.2","12.5","21.9%"
"10","Dallas Goedert (PHI)","58","87","607","10.5","28","8","5","0","0","0","2","15","144.7","9.6","90.6%"
"11","Jason Witten (FA)","63","83","529","8.4","33","3","4","0","0","0","1","16","139.9","8.7","0.0%"
"12","Mike Gesicki (NE)","51","89","570","11.2","34","10","5","0","0","0","1","16","136.0","8.5","3.4%"
"13","Greg Olsen (FA)","52","82","597","11.5","41","9","2","0","0","0","0","14","123.7","8.8","7.0%"
"14","Kyle Rudolph (FA)","39","48","367","9.4","32","4","6","0","0","0","0","16","113.7","7.1","0.0%"
"15","Jack Doyle (FA)","43","72","448","10.4","23","4","4","0","0","0","0","16","111.8","7.0","2.0%"
"16","Noah Fant (SEA)","40","66","562","14.1","75","18","3","3","-12","0","1","16","111.0","6.9","1.9%"
"17","Darren Fells (FA)","34","48","341","10.0","24","2","7","0","0","0","0","16","110.1","6.9","0.0%"
"18","Evan Engram (JAC)","44","68","467","10.6","75","9","3","3","7","0","0","8","109.4","13.7","96.7%"
"19","Tyler Eifert (FA)","43","63","436","10.1","27","4","3","0","0","0","0","16","106.6","6.7","0.0%"
"20","Jonnu Smith (ATL)","35","44","439","12.5","57","14","3","4","78","0","0","16","104.7","6.5","14.7%"
"21","Jimmy Graham (NO)","38","60","447","11.8","48","9","3","0","0","0","0","16","100.7","6.3","0.2%"
"22","Ryan Griffin (FA)","34","41","320","9.4","45","6","5","0","0","0","0","13","98.0","7.5","0.0%"
"23","Jacob Hollister (FA)","41","59","349","8.5","22","3","3","0","0","0","0","11","93.9","8.5","0.0%"
"24","Cameron Brate (FA)","36","55","311","8.6","37","2","4","0","0","0","0","16","91.1","5.7","2.0%"
"25","Jordan Akins (CLE)","36","55","418","11.6","53","7","2","0","0","0","0","16","89.8","5.6","0.1%"
"26","Gerald Everett (LAC)","37","60","408","11.0","33","9","2","1","0","0","0","13","89.8","6.9","41.6%"
"27","Eric Ebron (FA)","31","52","375","12.1","48","8","3","0","0","0","0","11","86.5","7.9","0.0%"
"28","Blake Jarwin (FA)","31","41","365","11.8","42","11","3","0","0","0","0","16","85.5","5.3","4.0%"
"29","O.J. Howard (FA)","34","53","459","13.5","33","11","1","0","0","0","1","14","83.9","6.0","0.0%"
"30","Vance McDonald (FA)","38","55","273","7.2","22","2","3","1","2","0","0","14","83.5","6.0","0.0%"
"31","T.J. Hockenson (MIN)","32","59","367","11.5","39","7","2","0","0","0","0","12","80.7","6.7","75.9%"
"32","Dawson Knox (BUF)","28","50","388","13.9","49","11","2","1","9","0","0","15","79.7","5.3","6.0%"
"33","Irv Smith Jr. (CIN)","36","47","311","8.6","29","5","2","0","0","0","0","16","79.1","4.9","2.7%"
"34","Hayden Hurst (CAR)","30","39","349","11.6","61","7","2","0","0","0","0","16","76.9","4.8","2.6%"
"35","Kaden Smith (FA)","31","42","268","8.6","32","4","3","0","0","0","0","9","75.8","8.4","0.0%"
"36","Nick Boyle (FA)","31","43","321","10.4","35","5","2","0","0","0","0","16","75.1","4.7","0.0%"
"37","Will Dissly (SEA)","23","27","262","11.4","38","4","4","1","7","0","0","6","73.9","12.3","0.2%"
"38","Foster Moreau (NO)","21","25","174","8.3","23","1","5","0","0","0","0","13","68.4","5.3","0.1%"
