"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","1","1","","1.0"
"2","Dalvin Cook","BAL","8","RB2","2","2","2","2","","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","4","3","","3.0"
"4","Derrick Henry","TEN","13","RB4","4","4","3","4","","4.0"
"5","Ezekiel Elliott","NE","14","RB5","8","5","8","5","","5.8"
"6","Davante Adams","LV","8","WR1","5","10","10","6","","6.6"
"7","Travis Kelce","KC","12","TE1","7","12","5","9","","8.4"
"8","Aaron Jones","GB","13","RB6","10","11","7","11","","9.4"
"9","Saquon Barkley","NYG","10","RB7","6","7","9","10","","9.6"
"10","Austin Ekeler","LAC","7","RB8","13","13","6","8","","10.4"
"11","Jonathan Taylor","IND","14","RB9","11","9","12","7","","10.4"
"12","Nick Chubb","CLE","13","RB10","12","6","11","12","","10.4"
"13","Tyreek Hill","MIA","14","WR2","9","8","13","13","","10.6"
"14","Stefon Diggs","BUF","7","WR3","14","15","14","14","","14.0"
"15","Najee Harris","PIT","7","RB11","15","16","16","16","","15.6"
"16","DeAndre Hopkins","TEN","13","WR4","17","17","17","19","","17.2"
"17","Antonio Gibson","WAS","9","RB12","16","21","20","15","","17.6"
"18","Patrick Mahomes II","KC","12","QB1","19","14","15","21","","18.2"
"19","Calvin Ridley","JAC","7","WR5","20","19","18","18","","18.4"
"20","DK Metcalf","SEA","9","WR6","18","18","19","20","","18.8"
"21","Joe Mixon","CIN","10","RB13","24","20","25","17","","20.8"
"22","Darren Waller","NYG","10","TE2","21","26","22","22","","22.4"
"23","Justin Jefferson","MIN","7","WR7","23","23","23","23","","23.4"
"24","A.J. Brown","PHI","14","WR8","22","22","21","25","","23.8"
"25","Clyde Edwards-Helaire","KC","12","RB14","26","25","26","24","","24.2"
"26","George Kittle","SF","6","TE3","25","24","24","32","","26.8"
"27","Keenan Allen","LAC","7","WR9","28","27","29","30","","27.4"
"28","Terry McLaurin","WAS","9","WR10","27","29","32","27","","29.6"
"29","Josh Allen","BUF","7","QB2","29","28","27","33","","30.0"
"30","David Montgomery","DET","9","RB15","34","35","31","26","","30.2"
"31","Allen Robinson II","PIT","7","WR11","32","31","28","34","","32.0"
"32","Chris Carson ","","","RB16","37","34","36","31","","32.4"
"33","CeeDee Lamb","DAL","7","WR12","30","40","33","28","","32.8"
"34","James Robinson","N","6 O","RB17","31","37","56","29","","33.4"
"35","Mike Evans","TB","9","WR13","33","32","37","40","","35.4"
"36","Josh Jacobs","LV","8","RB18","40","30","42","36","","36.4"
"37","D'Andre Swift","PHI","14","RB19","44","33","38","35","","36.8"
"38","Miles Sanders","CAR","13","RB20","35","39","48","38","","38.2"
"39","Robert Woods","HU","10 O","WR14","36","47","39","37","","38.4"
"40","Kyler Murray","ARI","12","QB3","39","36","35","44","","40.2"
"41","Amari Cooper","CLE","13","WR15","38","42","41","42","","41.2"
"42","Chris Godwin","TB","9 ","WR16","46","44","40","41","","42.4"
"43","Lamar Jackson","BAL","8","QB4","43","43","34","50","","44.8"
"44","Cooper Kupp","LAR","11","WR17","47","46","53","43","","46.0"
"45","Julio Jones","PHI","14","WR18","49","41","30","56","","46.2"
"46","Kyle Pitts","ATL","6","TE4","50","38","46","49","","47.0"
"47","Tyler Lockett","SEA","9","WR19","42","52","51","47","","49.2"
"48","Myles Gaskin","MIN","7","RB21","61","56","59","46","","49.8"
"49","Mark Andrews","BAL","8","TE5","45","48","44","53","","50.6"
"50","Adam Thielen","CAR","13","WR20","41","51","54","61","","50.6"
"51","Diontae Johnson","PIT","7","WR21","53","60","49","54","","51.8"
"52","DJ Moore","CHI","10","WR22","54","50","61","51","","53.4"
"53","Aaron Rodgers","NYJ","6","QB5","48","57","43","64","","54.4"
"54","Russell Wilson","DEN","11","QB6","55","49","47","65","","55.6"
"55","Dak Prescott","DAL","7","QB7","51","59","45","58","","56.0"
"56","Mike Davis","","","RB22","67","64","52","45","","56.8"
"57","Kareem Hunt","CLE","13","RB23","58","53","58","59","","57.2"
"58","T.J. Hockenson","MIN","7 ","TE6","57","55","55","60","","58.2"
"59","Darrell Henderson Jr.","","","RB24","75","45","70","52","","60.0"
