#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
35,Rhamondre Stevenson,RB,NE,4.7,6.1,20.1,12.9,19.5,25.1,23.8,21.3,16,BYE,14.2,20.2,13.8,3,24.8,3.3,7.1,,14.7,235.9
36,Dalvin Cook,RB,BAL,13.8,7.6,13.6,10.6,26.1,15.3,-,25.1,13.6,23.6,7.2,9.6,16.3,8.6,27,10.7,6.4,,14.7,235.1
37,Derek Carr,QB,NO,16.8,19,20.8,11.5,17.9,-,13.5,2.9,18.4,17.9,20.3,22.8,17,4.6,20.2,9.4,-,,15.5,233.1
38,Leonard Fournette,RB,FA,15.7,9.4,12,18.4,35.9,22.1,4.6,14.8,11,11.8,-,-,14.1,10.6,11.4,25.2,8.7,,15,225.7
39,Mike Evans,WR,TB,18.1,9.1,-,30.3,12.1,8.2,18.6,18.3,9,10.4,BYE,5.1,9.9,8.4,13.3,5.9,48.7,,15,225.4
40,Joe Mixon,RB,CIN,21.5,11.3,6.8,17.4,11.8,16.8,18.1,12.9,55.1,BYE,9.2,-,-,12.6,10.4,17.8,1.2,,15.9,222.9
41,Tyler Lockett,WR,SEA,5.8,19.7,16.6,13.1,27.4,3.7,11.5,15.3,17.7,13.2,BYE,15.8,27.8,17,13.8,-,3.5,,14.8,221.9
42,Tee Higgins,WR,CIN,4.7,19.1,14.3,25.4,-,10.7,14.3,13.9,13,BYE,23.8,24.4,12.5,-,16.3,26.8,2.3,,15.8,221.5
43,Christian Kirk,WR,JAC,17.7,25.8,19.2,8.3,2.1,10.8,17.1,7,21.6,31.5,BYE,8.1,16.4,9.5,15.2,5.6,4.1,,13.8,220
44,DK Metcalf,WR,SEA,8.6,7.5,17.4,21.9,17.8,5.4,2.2,17.5,14.7,13.1,BYE,20,26.7,18.1,12.5,15.1,1.3,,13.7,219.8
45,Ja'Marr Chase,WR,CIN,28.9,10.8,12.7,12.1,12,32.2,33,-,-,BYE,-,-,16.7,28.5,19,13.9,0,,18.3,219.8
46,Brandon Aiyuk,WR,SF,6.7,11.3,12.9,7.7,8.8,28.3,15.2,20.1,BYE,12.4,16,11.5,9.6,13.7,3.9,13.1,26.7,,13.6,217.9
47,Miles Sanders,RB,CAR,18.5,11.6,5.4,29.6,8.4,14.2,-,13.8,15.3,5.4,5.8,31,11.8,28.5,1.9,6.1,6.1,,13.3,213.4
48,Chris Godwin,WR,TB,6.5,-,-,12.9,12.3,15.5,11.5,13.5,10.7,19.1,BYE,29,14.3,10.4,22.3,14.3,21,,15.2,213.3
49,T.J. Hockenson,TE,MIN,7.8,5.6,10.8,39.9,1.6,-,8.8,11,16,11.5,8.4,15.3,7.3,11.7,8.3,35.9,12.9,,13.3,212.8
50,Russell Wilson,QB,DEN,17.8,12.1,9.1,27.5,11.2,13.8,-,14.8,BYE,15.2,10.7,8.5,9.7,26.6,-,11.3,24.6,,15.2,212.6
50,Terry McLaurin,WR,WAS,13.8,12.2,16.2,3.5,12.6,8.2,18.3,16.6,10.6,20.8,9.6,9.3,24.5,BYE,13,17.7,5.7,,13.3,212.6
52,Najee Harris,RB,PIT,10.6,13.9,13.1,7.4,6.6,12.9,11,12,BYE,9.9,27.6,10.9,10.2,13,14.6,15.5,20.3,,13.1,209.5
53,Kyler Murray,QB,ARI,20.6,26.9,13.4,23.9,17.2,15.9,17.2,26.6,19,-,-,26.2,BYE,0.7,-,-,-,,18.9,207.5
54,Jamaal Williams,RB,NO,16,7,24.7,23.9,5.6,-,7.3,22.6,10.1,11.9,24.4,10.6,9.5,3.7,3.3,3.4,22.7,,12.9,206.7
55,Marcus Mariota,QB,PHI,19.8,15.4,16.6,4.9,18,24.2,12.1,24.4,7.6,18.7,17.7,14.9,11.4,-,-,-,-,,15.8,205.6
56,Michael Pittman Jr.,WR,IND,27.1,-,15.2,6.1,10.9,26.4,9.8,12.3,5.2,12.3,13.5,19.1,3.6,BYE,19,7.9,16.1,,13.6,204.5
57,Dak Prescott,QB,DAL,5.5,-,-,-,-,-,12.3,26.4,BYE,21.2,20.6,16.8,17.8,15.7,22.2,29,16.4,,18.5,203.9
58,Cooper Kupp,WR,LAR,31.8,31.8,16.4,26.2,25.9,16.7,BYE,22.9,26.8,2.9,-,-,-,-,-,-,-,,22.4,201.4
59,James Conner,RB,ARI,16.5,7.1,8.7,10.7,7.3,-,-,-,11.4,23.6,13.4,21,BYE,23.4,18.1,25,14,,15.4,200.2
60,Alvin Kamara,RB,NO,7.6,-,7.3,-,23.4,18.4,17.5,42.8,9.2,7.5,12.9,7,5.7,BYE,12.4,19,9,,14.3,199.7
60,Travis Etienne Jr.,RB,JAC,8.5,8.3,10.5,3.2,14.4,12.8,18.9,25.2,26.6,10.3,BYE,0.3,7.6,3.2,12.7,14.2,23,,12.5,199.7
62,Garrett Wilson,WR,NYJ,9.2,30,12,6.1,5.7,1.8,6.4,17.5,17.9,BYE,3.2,26.4,24.2,13.8,13.8,5,4.8,,12.4,197.8
63,DJ Moore,WR,CHI,8,13.3,2.5,12.1,10.7,3.7,19.6,27.5,4.4,6.9,5.4,20.3,-,0.6,18.3,20.1,23.7,,12.3,197.1
64,Zay Jones,WR,JAC,12.5,5.3,24.5,-,4.2,9.2,10.8,6.5,9,14.8,BYE,27.5,3.6,21.7,34.9,2.1,5.4,,12.8,192
65,Mark Andrews,TE,BAL,10.2,25.7,28.9,3.5,22.9,23.6,0.4,6.3,-,BYE,12.3,11,9.4,3.7,6.1,7.5,19,,12.7,190.5
66,Kenneth Walker III,RB,SEA,-,3.5,6.3,3.4,14.8,19,28.7,12.2,27.9,13.2,BYE,16.9,3.6,-,11.9,12.5,15.2,,13.5,189.1
67,Jerick McKinnon,RB,KC,7.9,9.6,2,1,9.2,6,6.8,BYE,10.4,11.8,1.4,5.6,14,32.4,34.2,12.8,22.6,,11.7,187.7
68,Ezekiel Elliott,RB,NE,5.9,5.9,14.5,10.1,7.8,15.6,17.7,-,-,BYE,17.7,16.5,18.1,17.1,15.1,13.1,9.7,,13.2,184.8
69,Chris Olave,WR,NO,9.1,11,23.7,16.7,15.4,-,17.6,10.2,13.1,7,21.2,11.2,10.5,BYE,8.3,-,8.2,,13.1,183.2
70,New England Patriots,DST,NE,4,8,4,11,22,13,5,9,26,BYE,17,2,4,20,11,14,12,,11.4,182
71,George Kittle,TE,SF,-,-,6.8,4.4,7.7,16.3,21.8,12.9,BYE,3.1,24.4,5.6,4.2,6.8,25.3,30,12.3,,13,181.6
72,Jerry Jeudy,WR,DEN,20.2,2.2,3.7,15.3,8.3,8.4,16.6,18.3,BYE,0,-,-,10.5,33.3,14.6,17.7,10.8,,12.9,179.9
73,JuJu Smith-Schuster,WR,NE,11.9,4,13.9,9.6,6.3,22.3,25.4,-,18.8,5.3,-,6.8,6.5,22.4,16.8,5.7,4.1,,12,179.8
74,Devin Singletary,RB,HOU,8.2,4.1,24.1,11.6,5.6,14.7,-,9.3,8.8,15.7,17.7,9,11.1,5.3,10,20.5,0.3,,11,176
75,Curtis Samuel,WR,WAS,19.2,22.9,13.1,7.8,12.2,2.6,12.9,10.9,17.1,6,9.8,1.3,14.6,BYE,7.5,16.4,1.6,,11,175.9
76,David Montgomery,RB,DET,8,15.6,1.1,-,18.2,9,12.2,8.5,5.4,5.4,21.1,14.3,16.7,-,24.1,10.4,5.6,,11.7,175.6
77,D'Andre Swift,RB,PHI,26.5,16.7,7.6,-,-,-,BYE,14.3,8,8.2,12.2,10.3,21.1,6.9,12.5,3.5,27.7,,13.5,175.5
