"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","103","150","1,336","13.0","43","26","10","0","0","0","1","16","294.6","18.4","99.3%"
"2","Zach Ertz (DET)","116","156","1,163","10.0","34","14","8","0","0","0","0","16","280.3","17.5","10.9%"
"3","George Kittle (SF)","88","136","1,377","15.6","85","40","5","1","10","0","0","16","258.7","16.2","98.0%"
"4","Eric Ebron (FA)","66","110","750","11.4","53","10","13","3","-8","1","1","16","222.2","13.9","0.0%"
"5","Jared Cook (FA)","68","101","896","13.2","45","21","6","0","0","0","0","16","193.6","12.1","0.0%"
"6","Austin Hooper (LV)","71","88","660","9.3","36","10","4","0","0","0","0","16","163.0","10.2","0.4%"
"7","Kyle Rudolph (FA)","64","82","634","9.9","44","8","4","0","0","0","0","16","151.4","9.5","0.0%"
"8","Trey Burton (FA)","54","76","569","10.5","47","10","6","1","2","0","1","16","147.1","9.2","0.0%"
"9","David Njoku (CLE)","56","88","639","11.4","66","14","4","0","0","0","0","16","143.9","9.0","93.3%"
"10","Vance McDonald (FA)","50","72","610","12.2","75","12","4","0","0","0","1","15","133.0","8.9","0.0%"
"11","Rob Gronkowski (FA)","47","72","682","14.5","42","13","3","0","0","0","1","13","131.2","10.1","1.5%"
"12","Jimmy Graham (NO)","55","89","636","11.6","54","11","2","0","0","0","0","16","130.6","8.2","0.2%"
"13","Evan Engram (JAC)","45","64","577","12.8","54","18","3","3","36","0","0","11","126.3","11.5","96.7%"
"14","O.J. Howard (FA)","34","48","565","16.6","75","16","5","0","0","0","0","10","120.5","12.1","0.0%"
"15","Jordan Reed (FA)","54","84","558","10.3","34","8","2","0","0","0","1","13","119.8","9.2","19.0%"
"16","Chris Herndon IV (FA)","39","56","502","12.9","32","10","4","0","0","0","0","16","113.2","7.1","0.0%"
"17","Mark Andrews (BAL)","34","50","552","16.2","74","15","3","0","0","0","0","16","107.2","6.7","51.0%"
"18","C.J. Uzomah (NYJ)","43","64","439","10.2","29","6","3","0","0","0","0","16","104.9","6.6","0.1%"
"19","Cameron Brate (FA)","30","49","289","9.6","21","2","6","0","0","0","1","16","92.9","5.8","2.0%"
"20","Dallas Goedert (PHI)","33","44","334","10.1","32","6","4","0","0","0","0","16","90.4","5.7","90.6%"
