#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
77,Jared Goff,QB,DET,29.9,19.4,9.1,16.8,7.1,9.2,13,8.9,BYE,4.6,-,12.8,20.9,12.6,20.6,-,-,,14.2,185
78,Tyler Boyd,WR,CIN,6.2,14.3,13.6,20.8,6.4,1.7,7.9,19.7,2.1,BYE,12.3,3.3,13.5,10.3,20.6,17.5,13.6,,11.5,183.8
79,Dallas Cowboys,DST,DAL,7,7,13,8,11,13,BYE,2,3,23,8,5,17,22,16,24,1,,11.3,180
80,Tua Tagovailoa,QB,MIA,17.2,0.5,-,-,-,22.4,28.5,16.2,-,12.3,18.5,13.2,17.9,BYE,15.7,11,5.3,,14.9,178.8
81,Melvin Gordon III,RB,BAL,20.8,8.9,15.2,8.7,6.3,10.3,11.2,19.2,17.5,9.3,-,9.8,-,23.1,7.1,1,10.2,,11.9,178.6
82,DeVonta Smith,WR,PHI,19.1,3.6,5.8,19.2,14.7,5.1,11.1,2.5,22.6,22.6,10.1,4.2,3.5,BYE,7,19,8.4,,11.2,178.5
83,AJ Dillon,RB,GB,3.6,3.6,4.6,10.7,17.9,5.9,-0.2,7.8,13,26.8,15.7,20,BYE,7.1,10.5,8.6,22.3,,11.1,177.9
84,Jakobi Meyers,WR,LV,10.4,7.8,18.4,16.8,9.6,11.4,9.4,9.6,1.8,14.9,7.9,14.8,-,-,11.3,11.9,21.3,,11.8,177.3
85,Daniel Jones,QB,NYG,21.4,29.5,16.5,27.8,4.8,7.1,17.5,17.1,8.1,BYE,9.7,15.1,-,-,-,-,-,,15.9,174.5
86,Kendrick Bourne,WR,NE,2.7,4.6,21.6,10.8,6.8,14.5,15.8,5.8,6.4,24.1,8.9,23.1,0.3,BYE,9.3,5.3,14.3,,10.9,174.3
87,James Robinson,RB,NO,8.4,9.4,25.4,20.6,21.7,19.1,-,4.9,-,18.4,11.8,12.5,2.5,0.4,17.8,1,-,,12.4,173.9
88,Kyle Pitts,TE,ATL,7.1,12.3,5.5,9,26.9,BYE,23.3,3.3,9.2,10,5.9,4.6,8.8,11.1,11.7,16.2,8.9,,10.9,173.8
89,Devin Singletary,RB,HOU,11,17.1,3.6,9.6,3.3,9.3,-,3.9,12.9,11.9,7.3,5.8,3.6,14.9,16.6,18.8,23,,10.8,172.6
90,Myles Gaskin,RB,MIN,12.6,8.6,10.4,0.3,31.9,3.4,17.7,8.5,15.7,5.5,18.6,19.2,6.9,-,5.4,2.6,2.3,,10.6,169.6
91,Zach Ertz,TE,DET,5.4,1.6,15.3,12,1.7,12.9,16,8.2,5.7,8.6,28.8,-,2,9.2,13.4,13.4,11.1,,10.3,165.3
92,Dallas Goedert,TE,PHI,14.2,4.4,8.6,16.6,4.8,-,12,13.2,7.3,4.8,11.2,1,28.5,BYE,20.5,4.8,13.1,,11,165
93,A.J. Brown,WR,PHI,14.9,7.3,0.3,-,6.8,16.1,27.3,31.5,9.2,3.3,9.8,-,-,BYE,-,31.5,6.1,,13.7,164.1
94,Nick Folk,K,TEN,11,15,8,5,17,3,14,15,6,9,16,21,7,-,5,3,9,,10.3,164
95,Darrell Henderson Jr.,RB,FA,15.7,17.2,-,16.6,16.9,24.7,9.4,22.3,8.8,8.1,-,17.3,-,-,4.7,1.7,-,,13.6,163.4
96,Van Jefferson,WR,ATL,16,2.4,8.2,21,2.6,4.9,14.3,11.8,7.1,8.4,-,18.3,16.1,14.8,5.3,1.6,10.3,,10.2,163.1
97,Tony Pollard,RB,DAL,8.3,23,7.5,6.7,14.3,9.3,BYE,3.7,5.3,15.8,9,16.8,15.4,-,11.7,7,8.8,,10.8,162.6
98,Mike Gesicki,TE,NE,0,7.1,18.6,16.7,8.3,19.5,21.5,9.8,9.4,0,10,4.7,11.6,BYE,9.3,5.2,9.1,,10.1,160.8
99,Marvin Jones Jr.,WR,FA,18.7,17.5,12.2,5.4,3.5,23,-,8.5,5.1,5.5,9.2,8.3,3.1,13,3.4,15.4,6.6,,9.9,158.4
100,New England Patriots,DST,NE,5,19,3,2,5,3,12,13,20,11,28,14,8,BYE,3,-1,12,,9.8,157
101,Elijah Mitchell,RB,SF,16.4,7.3,-,-,8.2,BYE,16.7,19.7,12.9,9.1,-,27.8,17.4,0,-,-,21,,14.2,156.5
102,Noah Fant,TE,SEA,12.2,13.3,3.5,16.6,5,24.7,8.9,2.8,BYE,10.9,-,4.2,7.3,9.1,10.7,6,21.2,,10.4,156.4
103,Dawson Knox,TE,BUF,8.1,9.7,14.9,20.7,20.7,7.5,BYE,-,-,2.7,14,18.2,3.4,19,7.8,9.1,0,,11.1,155.8
104,Sam Darnold,QB,SF,19.1,19.9,25.3,33.5,9.1,16.1,3.5,11.8,4.8,-,-,-,-,-,-,8.7,3,,14.1,154.6
105,Evan McPherson,K,CIN,11,7,7,6,2,11,13,7,4,BYE,21,13,5,12,13,11,11,,9.6,154
105,Justin Tucker,K,BAL,11,7,17,13,3,12,6,BYE,10,5,11,13,7,15,6,3,15,,9.6,154
107,Brandon Aiyuk,WR,SF,0,1.6,14.5,2.5,5.2,BYE,1.9,10.5,18.7,5.6,21.5,12.5,8.5,18.6,4.6,14,13.4,,9.6,153.6
108,Daniel Carlson,K,LV,11,17,13,2,3,12,9,BYE,10,2,8,21,11,3,12,6,13,,9.6,153
109,Zach Wilson,QB,NYJ,19.3,6.3,4.6,18.7,9,BYE,2,-,-,-,-,11.1,22,11.4,12,23.2,13.4,,12.7,153
110,Michael Carter,RB,ARI,3,10.8,4.9,10.4,14.8,-,16.4,32.2,9.6,18.2,7.5,BYE,-,-,3,14.4,7.3,,11.7,152.5
111,Cole Beasley,WR,FA,14,7.6,20.8,3.6,1.5,21.8,-,21,11.3,3.5,6.3,9.6,2.1,15.4,7.5,-,6.2,,10.1,152.2
112,Matt Gay,K,IND,12,9,11,9,9,8,9,8,12,4,-,8,15,14,10,12,2,,9.5,152
113,Marquez Callaway,WR,PIT,2.4,2.8,14.1,9.4,24.5,-,6.2,6,11.5,11.7,9.6,4.4,2.3,5.4,17.2,8.6,15.7,,9.5,151.8
114,Chris Boswell,K,PIT,12,7,4,7,11,13,BYE,3,16,12,14,5,9,2,15,4,17,,9.4,151
115,Hunter Henry,TE,NE,6.1,6.2,8.6,13.2,19.5,10.5,10.3,4.3,9.9,19.7,4.5,3.6,-,BYE,25.7,1.9,6.7,,10,150.7
116,A.J. Green,WR,FA,4.5,13.4,16.2,17.7,2.3,18.9,9.6,10,-,1.4,11.8,-,2.4,17.2,10.4,4.3,10.4,,10,150.5
116,Rob Gronkowski,TE,FA,29,19.9,9.5,-,-,-,-,0,-,-,13.1,19.3,21.8,11.2,4.9,3.3,18.5,,13.7,150.5
118,K.J. Osborn,WR,MIN,14.6,20.1,4.6,6.6,4.4,19.8,BYE,3,3,0,2.9,1.5,14.7,17.3,5.1,17.8,14,,9.3,149.4
119,Greg Joseph,K,MIN,8,13,13,1,17,10,BYE,12,7,10,10,2,10,13,5,12,6,,9.3,149
120,Chase Claypool,WR,MIA,10,9.7,18.6,-,24,3.7,-,10.1,7.3,-,14.4,11.2,7.4,17.5,1.9,8.1,4.7,,10.6,148.6
121,Courtland Sutton,WR,DEN,2.4,24.9,8.7,7.7,25,23.4,11.8,6,3.9,4.9,BYE,3.7,3.5,1.9,3.2,7.3,9,,9.2,147.3
122,DeAndre Hopkins,WR,TEN,26.3,15.4,5.1,10.7,20.7,20.5,18.3,8.6,-,-,-,-,11.2,10.4,-,-,-,,14.7,147.2
123,T.J. Hockenson,TE,MIN,25.7,20.6,3,8.2,4.2,15.4,10.8,18.9,-,0,11.1,12.5,14.9,-,-,-,-,,12.1,145.3
124,Chase Edmonds,RB,TB,14.6,12.5,14.5,17.9,4.4,8,10,15.9,0.3,-,-,-,-,-,5.3,26.7,13.2,,11.9,143.3
125,Devonta Freeman,RB,FA,-,2.9,0.8,0.4,6.5,11.3,12.9,-,16.3,8.8,20,7,20.7,12.2,3.4,10,8.7,,9.5,141.9
126,Jake Elliott,K,PHI,7,4,3,12,9,2,2,16,6,14,19,1,17,BYE,9,10,10,,8.8,141
126,Matt Prater,K,ARI,8,12,7,15,5,15,7,3,7,5,7,BYE,9,16,6,4,15,,8.8,141
128,Tim Patrick,WR,DEN,13.9,12.7,14.8,6.9,15.9,13.2,3.6,9.4,18.5,4.4,BYE,4.6,1.9,4.1,13.2,3.8,-,,9.4,140.9
129,Saquon Barkley,RB,NYG,3.7,8.9,21.4,29.6,0.9,0,-,-,-,BYE,11.6,9.3,13.4,18.5,9.4,3.8,10.2,,10.8,140.7
130,Sony Michel,RB,FA,0.2,4.6,10.9,-0.9,11.5,4.2,0.4,7.6,10.6,5.1,-,3.5,21.9,7.9,13.5,20.5,18.9,,8.8,140.4
131,Pat Freiermuth,TE,PIT,3.4,7.6,11.2,2.1,2.7,12.8,BYE,14.4,21.3,6.1,11.1,14,7.6,11.2,7.7,-,7.2,,9.4,140.4
132,Dustin Hopkins,K,CLE,12,14,3,4,11,10,-,7,7,9,12,1,11,13,4,12,10,,8.8,140
133,Davis Mills,QB,HOU,-,7,10.7,-0.3,24.7,8.2,3.4,21.4,-,BYE,-,-,3.1,18,15.6,18.1,9.9,,11.6,139.7
134,Devontae Booker,RB,FA,2.3,2.1,-,2.2,20.8,10.9,14.6,17.5,15.2,-,3,3.7,9.4,12.4,10.2,8.6,6.6,,9.3,139.5
135,Elijah Moore,WR,CLE,0.7,8.7,5.2,-,0,-,10.2,13.1,27.4,13.4,29.6,9.3,20.6,-,-,-,-,,12.6,138.2
136,Robert Woods,WR,HOU,12.4,12,6.8,14.8,27,11.1,15,20.7,17.4,BYE,-,-,-,-,-,-,-,,15.2,137.2
137,Indianapolis Colts,DST,IND,4,11,7,8,3,15,11,6,5,14,10,2,18,BYE,14,3,6,,8.6,137
138,Justin Fields,QB,CHI,6.7,4.5,3.9,8.3,8.8,14.3,4.2,26.3,19.1,BYE,3.5,-,-,20.4,16.9,-,-,,11.4,136.8
139,Mike Davis,RB,FA,10.2,13.3,11,10.6,12.1,-,1,11.6,2.8,1.8,5.1,7.1,16.9,13.6,2.1,4.5,12.7,,8.5,136.4
140,Buffalo Bills,DST,BUF,3,22,7,23,17,1,BYE,12,8,12,-4,11,3,1,7,5,8,,8.5,136
141,Tyler Conklin,TE,NYJ,8.1,3.5,20,5.8,4.5,10.1,-,10.7,9.5,16.1,6.5,4.5,12.6,4,1.7,8.4,9.7,,8.5,135.7
142,Russell Gage,WR,TB,0,7.8,-,-,-,-,16.7,-,13.4,0,9.9,18.2,22,10.4,23.1,5.9,8,,11.3,135.4
143,Miami Dolphins,DST,MIA,6,3,10,4,-2,4,4,0,17,18,5,23,9,BYE,9,25,0,,8.4,135
143,New Orleans Saints,DST,NO,15,6,20,2,6,BYE,9,15,2,2,4,5,3,7,18,6,15,,8.4,135
145,Tampa Bay Buccaneers,DST,TB,2,19,0,9,8,4,21,0,BYE,6,12,12,11,5,6,16,3,,8.4,134
146,Tyler Bass,K,BUF,11,5,14,16,8,13,BYE,10,7,9,1,7,4,9,7,9,3,,8.3,133
147,Emmanuel Sanders,WR,FA,9.2,6.8,26.4,13.1,20.4,14.1,-,0,10.5,7.1,5.6,5.8,5.2,3.5,-,4,-,,9.4,131.7
148,Greg Zuerlein,K,NYJ,12,10,5,6,14,13,-,8,0,-,10,8,11,13,10,8,2,,8.7,130
148,Mason Crosby,K,NYG,3,5,16,9,16,6,6,6,1,5,9,13,-,9,7,6,13,,8.1,130
148,Harrison Butker,K,KC,10,5,6,6,10,9,4,8,9,12,9,BYE,13,14,8,-,7,,8.7,130
151,Darren Waller,TE,NYG,26.5,11.5,10.4,15,8.5,10.9,-,-,16.2,6.4,18.6,5.3,-,-,-,-,-,,12.9,129.3
152,C.J. Uzomah,TE,NYJ,5.5,2.4,0,26.5,3.6,10.5,24.1,7.3,6.4,-,2.9,3.9,5,9.6,4.8,8.6,7.2,,8,128.3
153,J.D. McKissic,RB,FA,0.8,20.3,5.8,16.9,1.7,19,9.6,17.3,-,7.9,6,22.6,-,-,-,-,-,,11.6,127.9
154,Christian McCaffrey,RB,SF,27.7,24.7,6,-,-,BYE,-,-,14.6,26.1,24.9,3.5,-,-,-,-,-,,18.2,127.5
155,Ryan Succop,K,FA,7,6,6,15,10,4,8,3,-,7,13,8,6,9,0,16,8,,7.9,126
155,Randy Bullock,K,NYG,-,15,5,12,7,11,11,12,4,11,1,1,-,9,7,9,11,,8.4,126
157,Odell Beckham Jr.,WR,BAL,-,-,13.7,5.1,4,12.9,4.3,1.6,-,3.8,-,19.1,10.8,19.7,1.7,13.7,14.9,,9.6,125.3
158,Chuba Hubbard,RB,CAR,2.4,1,10.9,9.1,18.4,13.5,9.6,14.1,4.6,8.7,-,0.6,BYE,9.3,5.1,0.9,15.8,,8.3,124
159,Tyler Higbee,TE,LAR,11.8,1.8,15,7.6,9.4,8.6,9.6,5.5,10.1,11,BYE,1.3,9.8,-,-,9.1,12.9,,8.8,123.5
160,Brandon McManus,K,JAC,9,13,16,1,7,6,2,6,13,7,-,4,4,10,6,10,9,,7.7,123
161,Alexander Mattison,RB,MIN,1.6,3.8,23.1,2,26.3,1,BYE,2,1.3,5,0.5,10.8,21.4,2.7,-,16,5.3,,8.2,122.8
162,Kansas City Chiefs,DST,KC,5,7,0,2,-1,8,3,6,11,7,15,BYE,17,24,3,12,3,,7.6,122
162,Graham Gano,K,NYG,1,22,6,8,12,3,15,5,11,BYE,4,7,11,1,7,6,3,,7.6,122
164,Mecole Hardman Jr.,WR,KC,4.9,10.5,12.5,6.1,16.6,8.8,4.8,11.3,5,5,4.5,BYE,2.2,7.9,3.1,12.1,6.3,,7.6,121.6
165,Braxton Berrios,WR,MIA,10.1,14.3,4.6,2.5,1.6,-,0,9.3,2.5,4.9,0,6.7,2.1,11.2,10.6,15,25.7,,7.6,121.1
165,Antonio Brown,WR,FA,23.7,2.7,-,13.3,31.4,24.3,-,-,-,-,-,-,-,-,-,20.1,5.6,,17.3,121.1
167,Tennessee Titans,DST,TEN,0,2,3,3,13,4,17,12,16,6,0,-2,BYE,21,4,7,15,,7.6,121
168,Robbie Chosen,WR,MIA,12.7,6.8,1.8,9.9,5,10.1,4.4,0,1.2,13.7,8,2.5,-,21.4,9.2,10.8,3,,7.5,120.5
