#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,Cooper Kupp,WR,LAR,23.8,36.8,30.6,11.4,16.2,34,37.6,24.5,20.5,23.2,BYE,18.6,26.9,31.3,34.7,21.3,21.5,,25.8,412.9
2,Josh Allen,QB,BUF,17.2,17.7,37.2,21,36.5,29.7,BYE,29.5,11.6,21.9,18.2,28.7,11.7,36.2,21.8,31,23.9,,24.6,393.7
3,Justin Herbert,QB,LAC,14.4,16.7,30.8,21.3,42.8,12,BYE,15.8,31.6,13,35.3,21.7,26.3,24.9,24,18.9,17.7,,23,367.3
4,Tom Brady,QB,FA,29.2,29.6,28.7,11.1,37.7,19,24.4,27.2,-,15,20.3,12.2,29.6,30.1,5.8,14.4,27.4,,22.6,361.7
5,Jonathan Taylor,RB,IND,17.6,6.3,8.2,20.4,31.9,28.8,18,21.2,34,24.6,53.4,19.7,24.3,BYE,23,10.8,18.4,,22.5,360.6
6,Patrick Mahomes II,QB,KC,33.3,25,24.9,32.3,21,25,8.7,15,10.4,36.2,8.5,BYE,13.6,20.3,30.6,22.3,20.9,,21.8,348
7,Davante Adams,WR,LV,10.6,20.1,31.2,12.4,37.6,12.9,19.6,BYE,10.2,14.8,30.5,18.4,-,34.1,16.4,33.4,30.6,,22.2,332.8
8,Joe Burrow,QB,CIN,18.6,13.3,18.6,22.3,20.3,23.8,27.6,21.3,9.4,BYE,9,17.4,18.6,22.2,12.8,38.1,34.8,,20.5,328.2
9,Matthew Stafford,QB,LAR,24.3,18.2,29.5,20.3,17.5,26.2,27.2,24.2,15.1,11.8,BYE,23,24,23.5,16.5,9.7,16.3,,20.5,327.2
10,Aaron Rodgers,QB,NYJ,3.3,26.8,19,24.1,20.8,23.7,24.7,15.7,-,11.5,33.5,26.3,-,29.6,23.8,20,20.3,,21.5,323.1
11,Jalen Hurts,QB,PHI,28.8,21.8,22.5,28.2,23.9,26,23.5,11.2,16.7,19.6,30.8,9.9,-,BYE,28.6,16.7,13,,21.4,321.2
12,Austin Ekeler,RB,LAC,11.7,22.5,22.7,29.5,32.9,9.5,BYE,24.4,11.2,14.9,41.5,21.9,17.4,16.4,18.2,-,20.2,,21,314.9
13,Deebo Samuel,WR,SF,31.9,16.1,10.2,35.7,16.1,BYE,21,23.1,11.3,30.3,16.4,20.8,-,12.9,18.9,28.1,17.2,,20.7,310
14,Justin Jefferson,WR,MIN,12.5,18.5,26.8,20.4,19.4,14,BYE,4.1,17,22.9,37.2,13.3,35.6,20.5,14.7,19.6,11.8,,19.3,308.3
15,Ja'Marr Chase,WR,CIN,20.9,13.4,22.5,13.7,27.9,13.7,34.1,13.1,8.9,BYE,13,6.9,10.2,25.3,1.3,19.5,55.6,,18.8,300
16,Dak Prescott,QB,DAL,28.4,8.5,20.1,27,21.7,27.8,BYE,-,19.9,26.3,4.6,25.3,12.2,11.9,10.6,31.3,23,,19.9,298.8
17,Tyreek Hill,WR,MIA,37.1,5.9,9.7,47.6,14.8,22.6,12.7,27.4,7.3,27.5,20,-,4.2,11.6,32.8,3.9,10.2,,18.5,295.3
18,Kyler Murray,QB,ARI,34.6,35.1,19.5,22.6,13.7,25.8,22.4,11.1,-,-,-,BYE,30.8,19.4,13.6,21.9,22.9,,22.6,293.4
19,Najee Harris,RB,PIT,5.9,19.1,28.2,21.1,22.2,24.7,BYE,21,16.8,17.3,16.9,6.7,15.7,25.4,4.6,16,29.6,,18.2,291.2
20,Joe Mixon,RB,CIN,25,8.1,10.4,13.7,10.5,26.3,11.9,25.1,28,BYE,24.3,32.3,9.4,8.8,7,31.5,15.6,,18,287.9
21,Kirk Cousins,QB,MIN,22,25.3,25.1,11.1,14.4,28.5,BYE,13.2,21.6,17.5,25.2,16.5,20.2,16,11.5,17.3,-,,19,285.4
22,Mark Andrews,TE,BAL,5,10.7,15.9,11.7,41.7,17.8,7.8,BYE,9.4,18.3,15.3,16.5,9,28.5,35.6,26.5,14.9,,17.8,284.6
23,Stefon Diggs,WR,BUF,15.9,16,12.2,18.4,8.9,23.9,BYE,15,14.5,30.2,18.3,20.4,9.1,14.4,13.5,21.5,10.2,,16.4,262.4
24,Diontae Johnson,WR,PIT,14.6,19.5,-,24.2,15.2,18.6,BYE,15.8,11.7,13.3,23.1,18.5,30.5,15.3,9.8,15.1,17.1,,17.5,262.3
25,Derek Carr,QB,NO,25,24.2,22.2,15.4,8.2,21.5,20,-,12.3,19.2,9.6,21,12.4,11.5,11.1,9.5,12.2,,16,255.6
26,Leonard Fournette,RB,FA,10.9,11.6,6.4,16.9,21,30.7,17,7.3,-,17.2,13.4,44.1,22.2,23.2,13.7,-,-,,18.3,255.6
27,Ryan Tannehill,QB,TEN,15.2,14.6,23.5,18.8,14,13.9,20.4,23.2,15,18.6,13.2,9.1,BYE,16.5,10.9,14.6,13.5,,15.9,255.1
28,Lamar Jackson,QB,BAL,18,34.3,20.3,19.4,41.9,13.8,23.1,BYE,32.6,16.4,-,13.4,18.6,1.2,-,-,-,,21.1,253
29,Carson Wentz,QB,LAR,18.3,18.6,7.8,17.9,22.6,17,20.3,20.3,24.2,7.1,10,22.3,11.1,-,7,17.4,10.9,,15.8,252.9
30,Travis Kelce,TE,KC,25.6,23.9,17.4,6.3,17.7,17.9,13.5,4.7,17.8,19.9,18.8,BYE,5.7,5.7,41.1,-,13.4,,16.6,249.4
31,Keenan Allen,WR,LAC,19,14.8,19,10.6,13.5,10,BYE,19.7,22.4,17.8,20.2,15.5,22.4,-,19.8,7.5,14.4,,16.4,246.6
32,Chris Godwin,WR,TB,23.5,16.2,19.6,8.5,14,9.3,25.1,28,BYE,12.7,19.2,4.7,30.2,20.5,10.9,-,-,,17.3,242.4
33,Hunter Renfrow,WR,LV,13,10.7,18.7,16.5,11.6,6.6,12.8,BYE,17.9,17.6,7.5,21.6,19.2,28.7,6.2,13,20.6,,15.1,242.2
34,Ezekiel Elliott,RB,NE,5.9,17.7,26.6,20.3,25.2,18.9,-,11.3,12.6,20.8,12.8,16.9,6.7,9,16.2,17.2,4,,15.1,242.1
35,Mike Evans,WR,TB,5.4,24.5,18.6,14.5,29.3,4.7,31.6,12.8,BYE,14.2,20.3,4.6,16.9,21.1,2.4,-,14.7,,15.7,235.6
36,DK Metcalf,WR,SEA,16,11.3,22.7,16.5,26.8,11.8,17.6,22.3,BYE,5.6,7.1,2.3,11,8.3,11.2,12.1,30.9,,14.6,233.5
37,Taylor Heinicke,QB,ATL,10.6,21,23.4,27.9,11.9,10.3,21.2,13.8,-,15.7,23.1,12.2,15.8,8.7,-,6.7,10.3,,15.5,232.8
38,Cordarrelle Patterson,RB,ATL,8.7,23.9,16.2,34.6,18.4,BYE,14.1,18.2,19.6,4.9,-,27.5,12.6,13.9,4.3,8.3,7.2,,15.5,232.4
39,Jaylen Waddle,WR,MIA,16.1,8.8,17.8,6.3,5.3,29,15.3,6.9,16.3,10.1,20.6,28.7,18,BYE,-,25.2,7.7,,15.5,232.1
40,James Conner,RB,ARI,5.3,2.6,18.3,20.6,10.7,8.1,12.4,14.2,40.3,15.4,20.9,BYE,19.1,33.5,9,-,-,,16.5,230.4
41,Aaron Jones,RB,GB,4.2,41.5,17.6,10.9,14.9,21,8.9,24,5.3,12.6,-,2.3,BYE,21.5,15,13.7,15.6,,15.3,229
42,CeeDee Lamb,WR,DAL,23.4,17.4,9.5,3.3,18.8,36.1,BYE,17.2,4.3,28.6,4.4,-,19.2,14.6,11,10.4,8.1,,15.1,226.3
43,Brandin Cooks,WR,DAL,18.2,22.8,20.7,9.7,5.3,17.9,7.1,20.3,11.6,-,3.8,13.5,8.4,18.1,29.2,-,19.6,,15.1,226.2
44,Mac Jones,QB,NE,15.2,7.4,14.6,17.9,12.5,15.8,22.2,11.7,7,19.9,11.4,21.5,0.5,BYE,19.2,7.1,22.3,,14.1,226.1
45,Jimmy Garoppolo,QB,LV,14.8,19.6,15.7,9.6,-,-,7.2,27.3,20.3,15.4,15.6,12.2,18,20.1,13.8,15.2,-,,16.1,224.8
46,Russell Wilson,QB,DEN,27.1,23.3,16.6,22.6,10.1,-,-,-,-,7.6,8.5,19.5,17.7,21.2,5.2,16.5,27.8,,17.2,223.8
47,Matt Ryan,QB,FA,7.4,19.3,15.6,29,21.6,-,18.4,8.1,28.5,2.7,4.1,11.2,12.1,11.9,13.4,13.1,6.6,,13.9,223.1
48,Marquise Brown,WR,ARI,19.4,23.3,8.3,19.1,33.5,7.5,19,-,20.6,9.7,-,13.1,10.5,9.1,14.3,9.4,3.8,,14.7,220.6
49,DJ Moore,WR,CHI,15.4,21.9,20.5,31.9,8.8,10.9,13.3,9.9,7.6,6.4,16,14.3,-,14.4,12.8,10.5,5.9,,13.8,220.5
50,Mike Williams,WR,LAC,22.2,22.1,33.2,2.1,36.5,4.7,BYE,3.9,7.8,7.3,20.7,7.9,16,12.1,7.9,-,15.3,,14.6,219.7
51,Tee Higgins,WR,CIN,15.8,16,-,-,10.2,7.4,13.2,13.7,13.8,BYE,3.5,23.4,28.8,16.4,4.3,43.4,9.2,,15.7,219.1
52,Michael Pittman Jr.,WR,IND,5.9,20.3,13.3,11.9,20.9,5.8,20.5,30.6,17.4,12.1,4.3,9.3,17,BYE,1.7,16.5,10.7,,13.6,218.2
53,Alvin Kamara,RB,NO,18.1,7,20.8,12,29.2,BYE,33.9,16.6,20.4,-,-,-,-,24.5,5.1,7.9,21,,18,216.5
54,Ben Roethlisberger,QB,FA,12,14.8,15.2,10.3,16,10.9,-,14.6,16.2,-,22.9,10.5,19.3,25.8,11.9,7.4,7.8,,14.4,215.7
55,Tyler Lockett,WR,SEA,26,31.8,7.1,6.4,10.7,5.5,3.2,26.2,BYE,4.3,15.5,12.6,19.8,27.2,-,6,12.1,,14.3,214.4
56,Teddy Bridgewater,QB,DET,20.5,21.2,11.8,6.8,19.6,21.3,14.8,12.6,21.9,9,-,16.2,14,15.2,4.9,-,-,,15,209.7
57,Nick Chubb,RB,CLE,22.1,16.8,8.4,11.5,24,-,-,7.9,30.3,-,22.4,5.9,BYE,9.5,16.3,27.4,5.8,,16,208.3
58,Antonio Gibson,RB,WAS,11.8,9.3,17.4,15.5,21.2,4.4,7.6,8.4,BYE,21.8,7.5,23.6,22.1,4.1,18.5,13.8,-,,13.8,207
59,Josh Jacobs,RB,LV,17,-,-,10.7,16.7,15.2,15.8,BYE,13.5,8.6,11.1,19.2,24,10,12.4,11.4,18,,14.5,203.6
60,Christian Kirk,WR,JAC,24,9.5,17.4,1.5,10,18.5,15,8.6,16.4,12.8,4.5,-,1.4,11.6,24.4,11.8,13.9,,12.6,201.3
61,Amon-Ra St. Brown,WR,DET,4.3,4.8,1.2,13,13.5,9.6,-,7.6,BYE,10.1,5.8,6.3,24.8,15.3,23.5,26,35.4,,13.4,201.2
62,Terry McLaurin,WR,WAS,10.2,27.7,10.2,30.3,8.6,6.8,25.2,6.5,BYE,11.9,21.3,9.1,5.2,0,7.1,7,13.1,,12.5,200.2
63,Adam Thielen,WR,CAR,30.2,15.9,17,7.6,6,29.8,-,19.8,8.6,11.5,22.2,23.2,1,-,-,7,-,,15.4,199.8
64,Trevor Lawrence,QB,JAC,22.1,8.8,9.5,17.8,22.7,15.9,BYE,13.6,5.1,9.8,8.6,18,6.8,5,10.5,12.9,10.3,,12.3,197.4
65,Dalvin Cook,RB,BAL,20.4,16.8,-,6.4,-,22.3,-,7.8,15.2,20.8,22.5,14.3,-,35.2,11.1,-,4.3,,16.4,197.1
66,Javonte Williams,RB,DEN,5.1,8.4,13.2,8.9,11.6,9.8,17.2,6.8,11.1,6.9,BYE,20.1,29.8,21.3,12.1,10,4.2,,12.3,196.5
67,Darnell Mooney,WR,CHI,7.6,12.6,1.9,18.5,6.5,15.5,5.9,12.4,20.6,BYE,23.1,17.5,7.7,2.9,11.6,10.9,19.9,,12.2,195.1
68,D'Andre Swift,RB,PHI,24.4,11.8,23.7,8.9,22.4,17.7,28.4,8.1,-,16.5,22.6,3.9,-,BYE,-,-,5.9,,16.2,194.3
69,Baker Mayfield,QB,TB,13.6,18.5,16.9,9.3,23,13.2,-,9.5,16.7,5.9,9.9,12.3,-,16,-,14,15,,13.9,193.9
70,Derrick Henry,RB,TEN,10.7,47.7,19.4,25.7,31,35.6,16.4,6.8,-,-,-,-,BYE,-,-,-,-,,24.2,193.3
71,Damien Harris,RB,BUF,11.7,13.4,3.1,4.6,9.8,17.8,25.3,14,10.3,-,7.5,12.2,17.1,-,-,28.3,17.7,,13.8,192.8
72,George Kittle,TE,SF,11.8,5.7,17.1,8,-,BYE,-,-,20.1,16,13.4,2.3,39.6,34.1,15.3,4.1,4.5,,14.8,192
73,Dalton Schultz,TE,HOU,10.5,3.8,26,17.8,13.9,12.9,-,3.1,9.4,2.4,11.3,15.6,9.3,1.4,20.7,22.2,11.4,,12,191.7
74,Amari Cooper,WR,CLE,38.9,5.4,5.6,15.9,15,10.5,-,26.2,5.7,9.1,-,-,6.1,16.1,2.8,21.5,10.8,,13.5,189.6
75,Darrel Williams,RB,FA,0.4,5.8,5.9,13.8,7.5,23.9,8,17,10.7,29.4,3.6,-,11,12.9,1.2,11.5,25.7,,11.8,188.3
76,David Montgomery,RB,DET,18.8,10.9,7.5,22.6,-,-,-,0,10,-,7.7,10.4,28.1,14.1,11.3,23.6,21.1,,14.3,186.1
