"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","204","915","4.5","72","10","13","107","127","722","6.7","5","3","17","372.7","21.9","99.1%"
"2","Christian McCaffrey (SF)","244","1,139","4.7","49","14","8","85","108","741","8.7","5","0","17","356.4","21.0","97.9%"
"3","Josh Jacobs (LV)","340","1,653","4.9","86","14","12","53","64","400","7.5","0","1","17","328.3","19.3","95.1%"
"4","Derrick Henry (TEN)","349","1,538","4.4","56","20","13","33","41","398","12.1","0","3","16","302.8","18.9","99.0%"
"5","Saquon Barkley (NYG)","295","1,312","4.4","68","16","10","57","76","338","5.9","0","0","16","284.0","17.8","100.0%"
"6","Nick Chubb (CLE)","302","1,525","5.0","41","18","12","27","37","239","8.9","1","1","17","281.4","16.6","23.1%"
"7","Rhamondre Stevenson (NE)","210","1,040","5.0","49","12","5","69","88","421","6.1","1","1","17","249.1","14.7","78.2%"
"8","Tony Pollard (DAL)","193","1,007","5.2","57","18","9","39","55","371","9.5","3","0","16","248.8","15.6","99.0%"
"9","Aaron Jones (GB)","213","1,121","5.3","36","10","2","59","72","395","6.7","5","3","17","248.6","14.6","94.5%"
"10","Joe Mixon (CIN)","212","826","3.9","40","7","7","60","75","441","7.4","2","0","15","240.7","16.0","98.8%"
"11","Dalvin Cook (BAL)","264","1,173","4.4","81","14","8","39","56","295","7.6","2","4","17","237.8","14.0","22.5%"
"12","Leonard Fournette (FA)","189","668","3.5","23","1","3","73","83","523","7.2","3","0","16","227.1","14.2","3.0%"
"13","Jamaal Williams (NO)","262","1,066","4.1","58","10","17","12","16","73","6.1","0","2","17","225.9","13.3","20.2%"
"14","Najee Harris (PIT)","272","1,034","3.8","36","2","7","41","53","229","5.6","3","2","17","223.5","13.1","91.9%"
"15","Miles Sanders (CAR)","259","1,269","4.9","40","12","11","20","26","78","3.9","0","2","17","216.7","12.7","45.1%"
"16","Alvin Kamara (NO)","223","897","4.0","27","3","2","57","77","490","8.6","2","4","15","211.7","14.1","98.6%"
"17","Travis Etienne Jr. (JAC)","220","1,125","5.1","62","18","5","35","45","316","9.0","0","3","17","205.1","12.1","99.9%"
"18","Kenneth Walker III (SEA)","228","1,050","4.6","74","21","9","27","35","165","6.1","0","0","15","202.5","13.5","96.8%"
"19","James Conner (ARI)","183","782","4.3","23","3","7","46","58","300","6.5","1","1","13","200.2","15.4","93.9%"
"20","Jerick McKinnon (KC)","72","291","4.0","30","3","1","56","71","512","9.1","9","1","17","196.3","11.5","31.2%"
