"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","29","11","0","0","0","1","15","312.8","20.9","99.3%"
"2","Darren Waller (NYG)","107","145","1,196","11.2","38","19","9","0","0","0","2","16","278.6","17.4","70.9%"
"3","Logan Thomas (WAS)","72","110","670","9.3","30","6","6","3","5","0","0","16","176.6","11.0","37.3%"
"4","Robert Tonyan (CHI)","52","59","586","11.3","45","13","11","0","0","0","0","16","176.6","11.0","0.2%"
"5","T.J. Hockenson (MIN)","67","101","723","10.8","51","10","6","1","0","0","1","16","175.3","11.0","75.9%"
"6","Mark Andrews (BAL)","58","88","701","12.1","39","13","7","0","0","0","0","14","170.1","12.2","51.0%"
"7","Mike Gesicki (NE)","53","85","703","13.3","70","14","6","0","0","0","0","15","159.3","10.6","3.4%"
"8","Rob Gronkowski (FA)","45","77","623","13.8","48","16","7","0","0","0","0","16","149.3","9.3","1.5%"
"9","Noah Fant (SEA)","62","93","673","10.9","37","11","3","0","0","0","0","15","149.3","10.0","1.9%"
"10","Hayden Hurst (CAR)","56","88","571","10.2","42","8","6","0","0","0","0","16","149.1","9.3","2.6%"
"11","Dalton Schultz (HOU)","63","89","615","9.8","28","3","4","0","0","0","1","16","146.5","9.2","79.8%"
"12","Hunter Henry (NE)","60","93","613","10.2","33","6","4","0","0","0","0","14","145.3","10.4","21.9%"
"13","Jimmy Graham (NO)","50","76","456","9.1","30","5","8","0","0","0","0","16","143.6","9.0","0.2%"
"14","Eric Ebron (FA)","56","91","558","10.0","27","6","5","0","0","0","1","15","141.8","9.5","0.0%"
"15","Evan Engram (JAC)","63","109","654","10.4","53","12","1","6","26","1","1","16","141.0","8.8","96.7%"
"16","Jonnu Smith (ATL)","41","65","448","10.9","63","8","8","2","4","1","0","15","140.2","9.3","14.7%"
"17","Tyler Higbee (LAR)","44","60","521","11.8","44","14","5","1","1","0","0","15","128.2","8.5","37.9%"
"18","Jared Cook (FA)","37","60","504","13.6","46","12","7","0","0","0","1","15","127.4","8.5","0.0%"
"19","George Kittle (SF)","48","63","634","13.2","44","13","2","2","17","0","0","8","125.1","15.6","98.0%"
"20","Dallas Goedert (PHI)","46","65","524","11.4","41","11","3","0","0","0","0","11","116.4","10.6","90.6%"
"21","Austin Hooper (LV)","46","70","435","9.5","36","4","4","0","0","0","0","13","113.5","8.7","0.4%"
"22","Irv Smith Jr. (CIN)","30","43","365","12.2","36","7","5","0","0","0","0","13","98.5","7.6","2.7%"
"23","Dan Arnold (FA)","31","45","438","14.1","59","13","4","0","0","0","1","16","96.8","6.1","0.0%"
"24","Gerald Everett (LAC)","41","62","417","10.2","40","5","1","1","2","1","1","16","92.9","5.8","41.6%"
"25","Anthony Firkser (DET)","39","53","387","9.9","45","6","1","0","0","0","0","16","83.7","5.2","0.0%"
"26","Jordan Akins (CLE)","37","49","403","10.9","26","7","1","1","4","0","0","13","83.7","6.4","0.1%"
"27","Trey Burton (FA)","28","47","250","8.9","20","1","3","2","3","2","0","13","83.3","6.4","0.0%"
"28","Tyler Eifert (FA)","36","60","349","9.7","28","1","2","0","0","0","0","15","82.9","5.5","0.0%"
"29","Mo Alie-Cox (IND)","31","39","394","12.7","45","9","2","0","0","0","1","15","80.4","5.4","0.1%"
"30","Drew Sample (CIN)","40","53","349","8.7","23","1","1","0","0","0","1","16","78.9","4.9","0.1%"
"31","Zach Ertz (DET)","36","72","335","9.3","42","7","1","0","0","0","0","11","77.5","7.0","10.9%"
"32","Darren Fells (FA)","21","28","312","14.9","44","6","4","0","0","0","0","16","76.2","4.8","0.0%"
"33","Chris Herndon IV (FA)","31","46","287","9.3","26","3","3","0","0","0","2","16","73.7","4.6","0.0%"
"34","Jordan Reed (FA)","26","46","231","8.9","26","1","4","0","0","0","0","10","73.1","7.3","19.0%"
"35","Richard Rodgers (FA)","24","31","345","14.4","33","7","2","0","0","0","0","14","70.5","5.0","0.0%"
"36","Cameron Brate (FA)","28","34","282","10.1","25","2","2","0","0","0","0","16","68.2","4.3","2.0%"
"37","Dawson Knox (BUF)","24","44","288","12.0","36","4","3","0","0","0","2","12","66.8","5.6","6.0%"
"38","Jacob Hollister (FA)","25","40","209","8.4","20","1","3","0","0","0","0","16","65.9","4.1","0.0%"
"39","Kyle Rudolph (FA)","28","37","334","11.9","25","5","1","0","0","0","1","12","65.4","5.5","0.0%"
"40","Jack Doyle (FA)","23","33","251","10.9","28","2","3","0","0","0","1","14","64.1","4.6","2.0%"
"41","Cole Kmet (CHI)","28","44","243","8.7","38","2","2","1","-3","0","1","16","62.0","3.9","83.6%"
"42","Harrison Bryant (CLE)","24","38","238","9.9","35","2","3","0","0","0","2","15","61.8","4.1","0.3%"
"43","Will Dissly (SEA)","24","29","251","10.5","28","3","2","0","0","0","0","16","61.1","3.8","0.2%"
