"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"47","Kenneth Dixon (FA)","88","382","4.3","20","1","2","30","41","162","5.4","1","0","12","102.4","8.5","0.1%"
"48","DeAngelo Williams (FA)","98","343","3.5","17","0","4","18","27","118","6.6","2","0","9","100.1","11.1","0.1%"
"49","Chris Ivory (FA)","117","439","3.8","42","2","3","20","28","186","9.3","0","3","11","94.5","8.6","0.0%"
"50","Charcandrick West (FA)","88","293","3.3","28","2","1","28","34","188","6.7","2","0","15","94.1","6.3","0.0%"
"51","Travaris Cadet (FA)","4","19","4.8","16","0","0","40","54","281","7.0","4","0","15","94.0","6.3","0.0%"
"52","Damien Williams (FA)","35","115","3.3","23","1","3","23","32","249","10.8","3","1","15","93.4","6.2","0.0%"
"53","Zach Zenner (FA)","88","334","3.8","20","1","4","18","23","196","10.9","0","1","14","93.0","6.6","0.0%"
"54","Jacquizz Rodgers (FA)","129","560","4.3","45","3","2","13","16","98","7.5","0","0","10","90.8","9.1","0.0%"
"55","Doug Martin (FA)","144","421","2.9","17","0","3","14","16","134","9.6","0","1","8","85.5","10.7","0.0%"
"56","DeAndre Washington (FA)","87","467","5.4","30","7","2","17","23","115","6.8","0","1","14","85.2","6.1","11.0%"
"57","Paul Perkins (FA)","112","456","4.1","22","2","0","15","24","162","10.8","0","0","14","76.8","5.5","0.0%"
"58","Rex Burkhead (FA)","74","344","4.6","17","0","2","17","20","145","8.5","0","1","16","75.9","4.7","10.0%"
"59","Thomas Rawls (FA)","109","349","3.2","45","1","3","13","17","96","7.4","0","0","9","75.5","8.4","0.1%"
"60","Matt Jones (FA)","99","460","4.6","57","3","3","8","8","73","9.1","0","2","7","75.3","10.8","0.0%"
"61","Kyle Juszczyk (SF)","5","22","4.4","10","0","1","37","49","266","7.2","0","0","16","73.8","4.6","0.4%"
"62","Jeremy Langford (FA)","62","200","3.2","23","1","4","19","27","142","7.5","0","2","12","73.2","6.1","0.0%"
"63","Fozzy Whittaker (FA)","57","265","4.6","25","1","0","25","33","226","9.0","0","1","16","72.1","4.5","0.0%"
"64","Charles Sims (FA)","51","149","2.9","23","1","1","24","32","190","7.9","1","1","7","67.9","9.7","0.0%"
"65","Alfred Blue (FA)","100","420","4.2","25","2","1","12","16","40","3.3","0","1","14","62.0","4.4","0.0%"
"66","Justin Forsett (FA)","87","291","3.3","64","1","1","20","27","85","4.3","0","1","9","61.6","6.8","0.0%"
"67","C.J. Prosise (FA)","30","172","5.7","72","1","1","17","19","208","12.2","0","0","6","61.0","10.2","0.0%"
"68","James Starks (FA)","63","145","2.3","11","0","0","19","25","134","7.1","2","0","9","58.9","6.5","0.0%"
"69","Jamize Olawale (FA)","17","47","2.8","17","0","2","12","14","227","18.9","1","0","16","57.4","3.6","0.0%"
"70","John Kuhn (FA)","18","37","2.1","4","0","4","16","20","70","4.4","1","0","16","56.7","3.5","0.0%"
"71","Dion Lewis (FA)","64","283","4.4","15","0","0","17","24","94","5.5","0","0","7","54.7","7.8","2.0%"
"72","Dwayne Washington (DEN)","90","265","2.9","28","1","1","10","15","62","6.2","0","0","12","48.7","4.1","0.0%"
"73","Wendell Smallwood (FA)","77","312","4.1","19","0","1","6","13","55","9.2","0","1","13","46.7","3.6","0.0%"
"74","Aaron Ripkowski (FA)","34","150","4.4","15","0","2","9","10","46","5.1","1","0","16","46.6","2.9","0.0%"
"75","Kenyan Drake (FA)","33","179","5.4","45","1","2","9","10","46","5.1","0","0","16","43.5","2.7","0.2%"
"76","Eddie Lacy (FA)","71","360","5.1","31","4","0","4","7","28","7.0","0","0","5","42.8","8.6","0.3%"
