"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Jonathan Taylor","IND","14 ","RB1","1","1","1","1","","1.0"
"2","Christian McCaffrey","SF","9","RB2","2","2","2","2","","2.0"
"3","Austin Ekeler","LAC","8","RB3","4","4","4","3","","3.8"
"4","Cooper Kupp","LAR","7 ","WR1","3","5","3","5","","4.0"
"5","Derrick Henry","TEN","6","RB4","5","3","5","8","","5.3"
"6","Justin Jefferson","MIN","7","WR2","6","6","6","4","","5.5"
"7","Dalvin Cook","BAL","10","RB5","9","7","7","7","","7.5"
"8","Najee Harris","PIT","9","RB6","8","8","10","6","","8.0"
"9","Ja'Marr Chase","CIN","10","WR3","7","9","8","9","","8.3"
"10","Joe Mixon","CIN","10","RB7","12","10","9","10","","10.3"
"11","Davante Adams","LV","6","WR4","11","12","11","15","","12.3"
"12","Stefon Diggs","BUF","7","WR5","13","11","12","14","","12.5"
"13","Alvin Kamara","NO","14","RB8","10","15","16","12","","13.3"
"14","Travis Kelce","KC","8","TE1","17","13","13","17","","15.0"
"15","D'Andre Swift","PHI","7","RB9","15","14","22","11","","15.5"
"16","Deebo Samuel","SF","9","WR6","14","21","14","19","","17.0"
"17","Aaron Jones","GB","14","RB10","21","18","17","22","","19.5"
"18","CeeDee Lamb","DAL","9","WR7","19","17","21","21","","19.5"
"19","Tyreek Hill","MIA","11","WR8","16","20","20","23","","19.8"
"20","Nick Chubb","CLE","9","RB11","28","16","18","18","","20.0"
"21","Saquon Barkley","NYG","9","RB12","26","19","23","13","","20.3"
"22","Josh Allen","BUF","7","QB1","22","22","15","24","","20.8"
"23","Mark Andrews","BAL","10","TE2","20","23","19","25","","21.8"
"24","Leonard Fournette","","","RB13","18","25","25","20","","22.0"
"25","Javonte Williams","DEN","9 ","RB14","23","24","28","16","","22.8"
"26","Mike Evans","TB","11","WR9","27","26","26","28","","26.8"
"27","Keenan Allen","LAC","8","WR10","24","27","29","33","","28.3"
"28","James Conner","ARI","13","RB15","25","30","36","26","","29.3"
"29","Patrick Mahomes II","KC","8","QB2","29","32","24","34","","29.8"
"30","Ezekiel Elliott","NE","10","RB16","38","29","27","27","","30.3"
"31","A.J. Brown","PHI","7","WR11","34","28","32","29","","30.8"
"32","Kyle Pitts","ATL","14 ","TE3","35","31","33","32","","32.8"
"33","Michael Pittman Jr.","IND","14","WR12","31","35","38","30","","33.5"
"34","Tee Higgins","CIN","10","WR13","30","33","35","37","","33.8"
"35","Justin Herbert","LAC","8","QB3","36","34","30","38","","34.5"
"36","David Montgomery","DET","6","RB17","40","40","31","35","","36.5"
"37","Cam Akers","MIN","7","RB18","33","37","53","36","","39.8"
"38","George Kittle","SF","9","TE4","41","36","34","48","","39.8"
"39","Travis Etienne Jr.","JAC","11","RB19","45","39","47","31","","40.5"
"40","Terry McLaurin","WAS","14","WR14","37","38","42","47","","41.0"
"41","Lamar Jackson","BAL","10","QB4","42","43","37","52","","43.5"
"42","DJ Moore","CHI","14","WR15","32","42","60","41","","43.8"
"43","Diontae Johnson","PIT","9","WR16","43","45","41","46","","43.8"
"44","Darren Waller","NYG","9","TE5","47","41","40","51","","44.8"
"45","Mike Williams","LAC","8","WR17","39","50","51","44","","46.0"
"46","Jaylen Waddle","MIA","11","WR18","44","44","44","57","","47.3"
"47","DK Metcalf","SEA","11","WR19","46","48","39","60","","48.3"
"48","Josh Jacobs","LV","6","RB20","54","49","45","50","","49.5"
"49","Elijah Mitchell","SF","9","RB21","62","58","48","40","","52.0"
"50","J.K. Dobbins","BAL","10","RB22","55","54","50","49","","52.0"
