"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"29","Ryan Fitzpatrick (FA)","228","403","56.6","2,710","6.7","12","17","19","33","130","0","1","14","133.4","9.5","0.0%"
"30","Case Keenum (HOU)","196","322","60.9","2,201","6.8","9","11","23","20","51","1","1","10","111.0","11.1","0.7%"
"31","Brian Hoyer (LV)","134","200","67.0","1,445","7.2","6","0","4","7","-2","0","1","6","79.7","13.3","0.2%"
"32","Cody Kessler (FA)","128","195","65.6","1,380","7.1","6","2","21","11","18","0","1","9","76.9","8.5","0.1%"
"33","Blaine Gabbert (KC)","91","160","56.9","925","5.8","5","6","11","40","173","2","0","6","73.7","12.3","0.4%"
"34","Matt Barkley (JAC)","129","216","59.7","1,611","7.5","8","14","6","7","2","0","2","7","71.8","10.3","0.0%"
"35","Robert Griffin III (FA)","87","147","59.2","886","6.0","2","3","22","31","190","2","1","5","66.5","13.3","1.0%"
"36","Matt Moore (FA)","55","87","63.2","721","8.3","8","3","1","1","-1","0","0","4","54.7","13.7","0.0%"
"37","Jared Goff (DET)","112","205","54.6","1,089","5.3","5","7","26","8","16","1","2","7","53.2","7.6","81.8%"
"38","Josh McCown (FA)","90","165","54.5","1,100","6.7","6","6","18","7","21","0","4","5","52.1","10.4","0.0%"
"39","Jay Cutler (FA)","81","137","59.1","1,059","7.7","4","5","17","5","24","0","2","5","46.8","9.4","0.2%"
"40","Jimmy Garoppolo (LV)","43","63","68.3","502","8.0","4","0","3","10","6","0","1","6","36.0","6.0","2.6%"
"41","Landry Jones (FA)","53","86","61.6","558","6.5","4","2","4","6","-4","0","0","8","33.9","4.2","0.0%"
"42","Bryce Petty (FA)","75","133","56.4","809","6.1","3","7","13","5","19","0","1","6","32.3","5.4","0.0%"
"43","Paxton Lynch (FA)","49","83","59.0","497","6.0","2","1","9","11","25","0","0","3","28.4","9.5","0.1%"
"44","Jacoby Brissett (WAS)","34","55","61.8","400","7.3","0","0","6","16","83","1","1","3","28.3","9.4","1.4%"
"45","Nick Foles (FA)","36","55","65.5","410","7.5","3","0","4","4","-4","0","0","3","28.0","9.3","0.1%"
"46","Tom Savage (FA)","46","73","63.0","461","6.3","0","0","5","6","12","0","1","3","17.6","5.9","0.0%"
"47","Kevin Hogan (FA)","14","26","53.8","104","4.0","0","2","2","8","105","1","0","4","16.7","4.2","0.0%"
"48","Derek Anderson (FA)","36","53","67.9","453","8.5","2","5","0","1","4","0","1","6","16.5","2.8","0.0%"
"49","Matt Cassel (FA)","30","51","58.8","284","5.6","2","2","5","4","3","0","0","4","15.7","3.9","0.0%"
"50","Shaun Hill (FA)","19","35","54.3","242","6.9","0","0","1","5","5","0","0","3","10.1","3.4","0.0%"
"51","Drew Stanton (FA)","19","48","39.6","192","4.0","2","3","1","3","-3","0","0","5","9.4","1.9","0.0%"
"52","Charlie Whitehurst (FA)","14","24","58.3","182","7.6","1","1","2","2","1","0","0","1","9.4","9.4","0.4%"
"53","Mike Glennon (FA)","10","11","90.9","75","6.8","1","0","0","0","0","0","0","2","9.0","4.5","1.0%"
"54","Scott Tolzien (FA)","23","37","62.2","216","5.8","1","2","3","6","3","0","0","3","8.9","3.0","0.0%"
"55","Trevone Boykin (FA)","13","18","72.2","145","8.1","1","1","1","8","1","0","0","5","7.9","1.6","0.0%"
"56","Geno Smith (SEA)","8","14","57.1","126","9.0","1","1","3","2","9","0","0","2","7.9","4.0","68.6%"
"57","E.J. Manuel (FA)","11","26","42.3","131","5.0","0","0","3","8","22","0","1","6","7.4","1.2","0.0%"
"58","Connor Cook (FA)","14","21","66.7","150","7.1","1","1","2","0","0","0","1","1","6.0","6.0","0.0%"
"59","Tony Romo (FA)","3","4","75.0","29","7.3","1","0","0","0","0","0","0","1","5.2","5.2","0.1%"
"60","Cardale Jones (FA)","6","11","54.5","96","8.7","0","1","1","1","-1","0","0","1","1.7","1.7","0.0%"
"61","Matt McGloin (FA)","8","15","53.3","50","3.3","0","0","0","3","-3","0","0","3","1.7","0.6","0.2%"
"62","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","1.3","0.1","0.0%"
"63","David Fales (FA)","2","5","40.0","22","4.4","0","0","1","1","0","0","0","1","0.9","0.9","0.0%"
"64","Chase Daniel (FA)","1","1","100.0","16","16.0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"65","Matt Schaub (FA)","1","3","33.3","16","5.3","0","0","0","2","-2","0","0","4","0.4","0.1","0.0%"
"66","Josh Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"67","AJ McCarron (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Kellen Clemens (FA)","0","1","0.0","0","0.0","0","0","0","2","-1","0","0","12","-0.1","0.0","0.0%"
"69","Chad Henne (FA)","0","0","0","0","0","0","0","0","1","-2","0","0","1","-0.2","-0.2","0.1%"
"70","Mark Sanchez (FA)","10","18","55.6","93","5.2","0","2","3","4","-2","0","0","2","-0.5","-0.3","0.1%"
"71","Sean Mannion (SEA)","3","6","50.0","19","3.2","0","1","0","1","-1","0","0","1","-1.3","-1.3","0.0%"
"72","Brett Hundley (FA)","2","10","20.0","17","1.7","0","1","0","3","-2","0","0","4","-1.5","-0.4","0.0%"
"73","Ryan Mallett (FA)","3","6","50.0","26","4.3","0","1","0","5","-6","0","0","4","-1.5","-0.4","0.0%"
""
""
