"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Antonio Brown (FA)","101","163","1,533","15.2","57","27","9","0","0","0","0","14","310.3","22.2","0.8%"
"2","DeAndre Hopkins (TEN)","96","174","1,378","14.4","72","24","13","0","0","0","1","15","309.8","20.7","94.8%"
"3","Keenan Allen (LAC)","102","159","1,393","13.7","51","18","6","2","9","0","0","16","278.2","17.4","92.9%"
"4","Larry Fitzgerald (FA)","109","161","1,156","10.6","37","16","6","0","0","0","1","16","261.4","16.3","0.2%"
"5","Jarvis Landry (FA)","112","161","987","8.8","49","6","9","1","-7","0","2","16","260.0","16.3","7.1%"
"6","Michael Thomas (NO)","104","149","1,245","12.0","43","22","5","0","0","0","0","16","258.5","16.2","36.1%"
"7","Julio Jones (PHI)","88","148","1,444","16.4","53","23","3","1","15","0","0","16","251.9","15.7","1.4%"
"8","Adam Thielen (CAR)","91","142","1,276","14.0","65","20","4","1","11","0","2","16","239.7","15.0","87.2%"
"9","Tyreek Hill (MIA)","75","105","1,183","15.8","79","15","7","17","59","0","0","15","239.2","15.9","100.0%"
"10","A.J. Green (FA)","75","143","1,078","14.4","77","9","8","0","0","0","2","16","226.8","14.2","0.6%"
"11","Marvin Jones Jr. (FA)","61","107","1,101","18.0","58","20","9","0","0","0","0","16","225.1","14.1","0.6%"
"12","Golden Tate (FA)","92","120","1,003","10.9","71","10","5","5","22","0","1","16","224.5","14.0","0.0%"
"13","Doug Baldwin (FA)","75","116","991","13.2","54","18","8","2","-8","0","0","16","223.3","14.0","0.0%"
"14","Davante Adams (LV)","74","117","885","12.0","55","8","10","0","0","0","0","14","222.5","15.9","100.0%"
"15","Brandin Cooks (DAL)","65","114","1,082","16.6","64","18","7","9","40","0","0","16","221.2","13.8","69.6%"
"16","Demaryius Thomas (FA)","83","140","949","11.4","40","15","5","0","0","0","1","16","205.9","12.9","0.1%"
"17","Mike Evans (TB)","71","136","1,001","14.1","42","9","5","0","0","0","0","15","203.1","13.5","97.5%"
"18","Robbie Chosen (MIA)","63","114","941","14.9","69","17","7","3","9","0","0","16","200.0","12.5","0.1%"
"19","Stefon Diggs (BUF)","64","95","849","13.3","59","14","8","8","13","0","0","14","198.2","14.2","99.9%"
"20","Alshon Jeffery (FA)","57","120","789","13.8","53","8","9","0","0","0","0","16","195.9","12.2","0.0%"
"21","Devin Funchess (FA)","63","111","840","13.3","44","15","8","0","0","0","0","16","195.0","12.2","0.0%"
"22","JuJu Smith-Schuster (NE)","58","79","917","15.8","97","12","7","0","0","0","0","14","191.7","13.7","18.5%"
"23","Nelson Agholor (BAL)","62","95","768","12.4","72","9","8","1","7","0","0","16","187.5","11.7","0.8%"
"24","Dez Bryant (FA)","69","132","838","12.1","50","8","6","1","-4","0","1","16","186.4","11.7","2.6%"
"25","Cooper Kupp (LAR)","62","94","869","14.0","64","12","5","0","0","0","1","15","176.9","11.8","97.9%"
"26","Jermaine Kearse (FA)","65","102","810","12.5","51","9","5","0","0","0","0","16","176.0","11.0","0.0%"
"27","T.Y. Hilton (FA)","57","109","966","16.9","80","14","4","0","0","0","1","16","175.6","11.0","1.6%"
"28","Kenny Stills (FA)","58","105","847","14.6","61","14","6","0","0","0","2","16","174.7","10.9","0.0%"
"29","Mohamed Sanu Sr. (FA)","67","96","703","10.5","25","10","5","4","10","0","0","15","174.3","11.6","0.0%"
"30","Michael Crabtree (FA)","58","101","618","10.7","41","8","8","0","0","0","0","14","171.8","12.3","0.0%"
"31","Marquise Goodwin (CLE)","56","105","962","17.2","83","13","2","4","44","0","0","16","168.6","10.5","0.1%"
"32","Robert Woods (HOU)","56","85","781","13.9","94","12","5","2","12","0","1","12","163.3","13.6","6.5%"
"33","Jamison Crowder (WAS)","66","103","789","12.0","41","12","3","7","34","0","3","15","160.3","10.7","0.1%"
"34","Ted Ginn Jr. (FA)","53","70","787","14.8","54","15","4","10","39","0","0","15","159.6","10.6","0.0%"
"35","Randall Cobb (NYJ)","66","92","653","9.9","46","7","4","9","17","0","0","15","159.4","10.6","0.3%"
"36","Amari Cooper (CLE)","48","96","680","14.2","87","9","7","1","4","0","0","14","158.4","11.3","91.4%"
"37","Rishard Matthews (FA)","53","87","795","15.0","75","13","4","1","-3","0","0","14","156.2","11.2","0.0%"
"38","Mike Wallace (FA)","52","92","748","14.4","66","11","4","1","4","0","0","15","151.2","10.1","0.0%"
"39","Paul Richardson Jr. (FA)","44","80","703","16.0","61","13","6","0","0","0","0","16","150.3","9.4","0.0%"
"40","Marqise Lee (FA)","56","96","702","12.5","45","6","3","1","17","0","0","14","147.9","10.6","0.0%"
"41","Sammy Watkins (FA)","39","70","593","15.2","67","9","8","0","0","0","0","15","146.3","9.8","0.0%"
"42","Sterling Shepard (NYG)","59","84","731","12.4","77","7","2","4","4","0","0","11","144.5","13.1","0.2%"
"43","Danny Amendola (FA)","61","86","659","10.8","27","7","2","0","0","0","0","15","138.9","9.3","0.0%"
"44","DeSean Jackson (FA)","50","90","668","13.4","41","10","3","3","38","0","0","14","138.6","9.9","0.6%"
"45","Tyrell Williams (FA)","43","69","728","16.9","75","12","4","0","0","0","1","16","137.8","8.6","0.0%"
"46","Jordy Nelson (FA)","53","88","482","9.1","58","4","6","0","0","0","0","15","137.2","9.1","0.1%"
"47","Kelvin Benjamin (FA)","48","78","692","14.4","43","10","3","0","0","0","0","14","135.2","9.7","0.1%"
"48","Keelan Cole Sr. (LV)","42","83","748","17.8","75","11","3","0","0","0","1","16","132.8","8.3","0.0%"
"49","Martavis Bryant (DAL)","50","84","603","12.1","51","7","3","6","22","0","0","15","132.5","8.8","0.1%"
"50","DeVante Parker (NE)","57","96","670","11.8","36","9","1","0","0","0","0","13","130.0","10.0","3.2%"
"51","Adam Humphries (FA)","61","83","631","10.3","43","5","1","1","6","0","1","16","128.7","8.0","0.0%"
"52","Kendall Wright (FA)","59","91","614","10.4","22","1","1","0","0","0","0","16","126.4","7.9","0.0%"
"53","Ryan Grant (FA)","45","65","573","12.7","40","10","4","0","0","0","0","16","126.3","7.9","0.0%"
"54","Brandon LaFell (FA)","52","89","548","10.5","45","6","3","0","0","0","0","16","124.8","7.8","0.0%"
"55","Travis Benjamin (FA)","34","65","567","16.7","62","10","4","13","96","0","0","16","124.3","7.8","0.0%"
"56","Josh Doctson (FA)","35","78","502","14.3","52","6","6","1","-14","0","0","16","119.8","7.5","0.0%"
"57","Tyler Lockett (SEA)","45","71","555","12.3","74","5","2","10","58","0","0","16","118.3","7.4","91.5%"
"58","Eric Decker (FA)","54","83","563","10.4","29","5","1","0","0","0","0","16","116.3","7.3","0.6%"
"59","Albert Wilson (FA)","42","62","554","13.2","63","4","3","3","6","0","0","13","116.0","8.9","0.0%"
"60","Emmanuel Sanders (FA)","47","92","555","11.8","38","11","2","0","0","0","0","12","114.5","9.5","0.0%"
"61","William Fuller V (FA)","28","50","423","15.1","59","7","7","2","9","0","0","10","113.2","11.3","0.0%"
"62","Terrance Williams (FA)","53","78","568","10.7","56","6","0","2","15","0","0","16","111.3","7.0","0.0%"
"63","Chris Hogan (FA)","34","59","439","12.9","47","6","5","3","17","0","0","9","109.6","12.2","0.0%"
"64","Deonte Thompson (FA)","38","69","555","14.6","46","8","2","2","-5","0","0","16","105.0","6.6","0.0%"
"65","Jaron Brown (FA)","31","69","477","15.4","52","12","4","0","0","0","0","16","102.7","6.4","0.0%"
"66","Jeremy Maclin (FA)","40","72","440","11.0","48","3","3","0","0","0","0","12","102.0","8.5","0.0%"
"67","Allen Hurns (FA)","39","56","484","12.4","50","4","2","0","0","0","0","10","99.4","9.9","0.0%"
"68","Trent Taylor (CHI)","43","60","430","10.0","33","2","2","0","0","0","1","15","96.0","6.4","0.0%"
"69","Kenny Golladay (FA)","28","48","477","17.0","54","8","3","1","9","0","0","11","94.6","8.6","4.0%"
"70","J.J. Nelson (FA)","29","61","508","17.5","46","6","2","3","37","0","1","16","93.5","5.8","0.0%"
"71","Chris Godwin (TB)","34","55","525","15.4","70","4","1","0","0","0","0","16","92.5","5.8","91.6%"
"72","Cole Beasley (FA)","36","63","314","8.7","54","2","4","0","0","0","0","15","91.4","6.1","0.0%"
"73","Torrey Smith (FA)","36","68","430","11.9","59","6","2","1","-3","0","0","16","90.7","5.7","0.0%"
"74","Seth Roberts (FA)","43","65","455","10.6","29","6","1","0","0","0","2","15","90.5","6.0","0.0%"
"75","Pierre Garcon (FA)","40","67","500","12.5","59","6","0","0","0","0","0","8","90.0","11.3","0.0%"
"76","Roger Lewis (FA)","36","72","416","11.6","34","6","2","0","0","0","0","15","89.6","6.0","0.0%"
"77","Bennie Fowler III (FA)","29","56","350","12.1","29","5","3","0","0","0","0","16","82.0","5.1","0.0%"
"78","Taylor Gabriel (FA)","33","51","378","11.5","40","4","1","8","49","0","0","16","81.7","5.1","0.1%"
"79","T.J. Jones (FA)","30","49","399","13.3","34","6","1","0","0","0","0","14","77.9","5.6","0.0%"
"80","Donte Moncrief (FA)","26","47","391","15.0","60","5","2","0","0","0","0","12","77.1","6.4","0.0%"
"81","Bruce Ellington (FA)","29","57","330","11.4","35","6","2","3","17","0","0","11","75.7","6.9","0.0%"
"82","Odell Beckham Jr. (BAL)","25","41","302","12.1","48","2","3","1","8","0","0","4","74.0","18.5","59.0%"
"83","Brandon Coleman (FA)","23","37","364","15.8","54","8","3","0","0","0","2","16","73.4","4.6","0.0%"
"84","Zay Jones (JAC)","27","74","316","11.7","33","3","2","0","0","0","0","15","70.6","4.7","25.8%"
"85","John Brown (FA)","21","55","299","14.2","52","2","3","1","10","0","0","10","69.9","7.0","0.0%"
"86","Corey Davis (FA)","34","65","375","11.0","37","4","0","0","0","0","1","11","69.5","6.3","0.1%"
"87","Rashard Higgins (FA)","27","50","312","11.6","56","4","2","1","4","0","1","15","68.6","4.6","0.0%"
"88","Josh Bellamy (FA)","24","46","376","15.7","46","4","1","1","6","0","0","15","68.2","4.5","0.0%"
"89","Dede Westbrook (FA)","27","51","339","12.6","29","6","1","0","0","0","0","7","66.9","9.6","0.0%"
"90","Corey Coleman (FA)","23","58","305","13.3","44","4","2","0","0","0","0","9","65.5","7.3","0.0%"
"91","Dontrelle Inman (FA)","25","44","343","13.7","26","4","1","0","0","0","0","12","65.3","5.4","0.0%"
"92","Brice Butler (FA)","15","23","317","21.1","53","7","3","0","0","0","0","13","64.7","5.0","0.0%"
"93","Ricardo Louis (FA)","27","61","357","13.2","37","7","0","0","0","0","0","16","62.7","3.9","0.0%"
"94","Cody Latimer (FA)","19","31","287","15.1","32","6","2","0","0","0","0","11","61.7","5.6","0.0%"
"95","Tavarres King (FA)","18","37","240","13.3","57","2","3","2","3","0","0","8","60.3","7.5","0.0%"
"96","Justin Hardy (FA)","20","29","221","11.1","27","3","3","0","0","0","0","16","60.1","3.8","0.0%"
"97","Chris Moore (TEN)","18","38","248","13.8","30","5","3","2","-9","0","0","13","59.9","4.6","0.1%"
"98","Chester Rogers (FA)","23","37","284","12.3","61","2","1","3","8","0","0","11","58.2","5.3","0.0%"
"99","Kenny Britt (FA)","20","43","256","12.8","38","3","2","0","0","0","0","12","57.6","4.8","0.0%"
"100","Josh Gordon (FA)","18","42","335","18.6","54","5","1","0","0","0","0","5","57.5","11.5","0.2%"
"101","Jordan Matthews (CAR)","25","36","282","11.3","47","3","1","0","0","0","1","10","57.2","5.7","0.0%"
"102","Aldrick Robinson (FA)","19","48","260","13.7","45","3","2","0","0","0","0","16","57.0","3.6","0.0%"
"103","Tyler Boyd (CIN)","22","32","225","10.2","49","1","2","0","0","0","0","10","56.5","5.7","48.8%"
"104","Terrelle Pryor Sr. (FA)","20","37","240","12.0","44","3","1","0","0","0","0","9","50.0","5.6","0.0%"
"105","Jarius Wright (FA)","18","25","198","11.0","30","3","2","0","0","0","0","16","49.8","3.1","0.0%"
"106","Taywan Taylor (FA)","16","28","231","14.4","53","4","1","8","43","0","0","16","49.4","3.1","0.0%"
"107","Michael Campanaro (FA)","19","27","173","9.1","18","0","1","5","42","0","0","13","46.5","3.6","0.0%"
"108","Geronimo Allison (FA)","23","39","253","11.0","72","1","0","0","0","0","1","15","46.3","3.1","0.0%"
"109","Jeremy Kerley (FA)","22","27","217","9.9","31","2","1","0","0","0","2","8","45.7","5.7","0.0%"
"110","Russell Shepard (FA)","17","32","202","11.9","40","1","1","2","19","0","0","15","45.1","3.0","0.0%"
"111","Johnny Holton (FA)","9","18","218","24.2","64","3","3","0","0","0","2","16","44.8","2.8","0.0%"
"112","Mack Hollins (ATL)","16","22","226","14.1","64","3","1","0","0","0","0","16","44.6","2.8","0.4%"
"113","Jakeem Grant Sr. (CLE)","13","22","203","15.6","65","3","2","3","12","0","1","16","44.5","2.8","0.0%"
"114","Andre Holmes (FA)","13","23","120","9.2","36","1","3","0","0","0","0","14","43.0","3.1","0.0%"
"115","Tavon Austin (FA)","13","22","47","3.6","13","0","0","59","270","1","4","16","42.7","2.7","0.1%"
"116","Demarcus Robinson (LAR)","21","39","212","10.1","33","1","0","0","0","0","0","16","42.2","2.6","20.2%"
