"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Christian McCaffrey","SF","9","RB1","1","2","2","2","","1.8"
"2","Austin Ekeler","LAC","5","RB2","4","4","3","6","","4.3"
"3","Ja'Marr Chase","CIN","7","WR1","7","3","4","4","","4.5"
"4","Tyreek Hill","MIA","10","WR2","2","6","8","3","","4.8"
"5","Travis Kelce","KC","10","TE1","6","5","6","9","","6.5"
"6","Stefon Diggs","BUF","13","WR3","8","7","10","10","","8.8"
"7","Justin Jefferson","MIN","13","WR4","34","1","1","1","","9.3"
"8","Bijan Robinson","ATL","11","RB3","19","8","9","5","","10.3"
"9","A.J. Brown","PHI","10","WR5","5","13","13","16","","11.8"
"10","Saquon Barkley","NYG","13","RB4","24","9","7","8","","12.0"
"11","CeeDee Lamb","DAL","7","WR6","12","11","15","14","","13.0"
"12","Tony Pollard","DAL","7","RB5","3","21","18","12","","13.5"
"13","Amon-Ra St. Brown","DET","9","WR7","11","17","21","11","","15.0"
"14","Patrick Mahomes II","KC","10","QB1","15","12","16","18","","15.3"
"15","Davante Adams","LV","13","WR8","17","14","12","19","","15.5"
"16","Josh Jacobs","LV","13","RB6","16","19","14","13","","15.5"
"17","Cooper Kupp","LAR","10","WR9","18","15","5","38","","19.0"
"18","Jalen Hurts","PHI","10","QB2","13","23","23","22","","20.3"
"19","Derrick Henry","TEN","7","RB7","27","16","19","21","","20.8"
"20","Garrett Wilson","NYJ","7","WR10","30","18","20","20","","22.0"
"21","Josh Allen","BUF","13","QB3","22","20","22","25","","22.3"
"22","Travis Etienne Jr.","JAC","9","RB8","9","30","31","24","","23.5"
"23","Jaylen Waddle","MIA","10","WR11","25","22","25","26","","24.5"
"24","Chris Olave","NO","11","WR12","54","24","32","17","","31.8"
"25","Mark Andrews","BAL","13","TE2","44","26","26","33","","32.3"
"26","Breece Hall","NYJ","7","RB9","39","39","24","34","","34.0"
"27","DK Metcalf","SEA","5","WR13","35","31","34","37","","34.3"
"28","Keenan Allen","LAC","5","WR14","10","38","52","40","","35.0"
"29","Rhamondre Stevenson","NE","11","RB10","57","29","28","27","","35.3"
