"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"156","Lucky Whitehead (FA)","3","3","48","16.0","35","1","0","10","82","0","1","15","14.0","0.9","0.0%"
"157","Aaron Burbridge (FA)","7","16","88","12.6","24","1","0","0","0","0","1","16","13.8","0.9","0.0%"
"158","Jeremy Ross (FA)","4","4","37","9.3","15","0","1","0","0","0","0","6","13.7","2.3","0.0%"
"159","Rashard Higgins (FA)","6","12","77","12.8","19","0","0","0","0","0","0","16","13.7","0.9","0.0%"
"160","Chris Moore (TEN)","7","16","46","6.6","13","0","0","3","19","0","0","15","13.5","0.9","0.1%"
"161","De'Anthony Thomas (FA)","7","9","35","5.0","15","0","0","4","29","0","0","12","13.4","1.1","0.0%"
"162","Alex Erickson (LAC)","6","8","71","11.8","20","1","0","0","0","0","0","16","13.1","0.8","0.1%"
"163","Keenan Allen (LAC)","6","7","63","10.5","15","0","0","0","0","0","0","1","12.3","12.3","92.9%"
"164","Leonte Carroo (FA)","3","6","29","9.7","15","0","1","0","0","0","0","14","11.9","0.9","0.0%"
"165","Bryce Treggs (FA)","3","12","80","26.7","58","1","0","2","7","0","0","9","11.7","1.3","0.0%"
"166","Wendall Williams (FA)","4","7","75","18.8","32","2","0","0","0","0","0","3","11.5","3.8","0.0%"
"167","Trevor Davis (FA)","3","7","24","8.0","9","0","1","0","0","0","1","11","9.4","0.9","0.0%"
"168","Josh Doctson (FA)","2","6","66","33.0","57","1","0","0","0","0","0","2","8.6","4.3","0.0%"
"169","Johnny Holton (FA)","2","3","34","17.0","30","1","0","6","43","0","1","15","7.7","0.5","0.0%"
"170","Quan Bray (FA)","3","4","36","12.0","22","1","0","1","7","0","0","6","7.3","1.2","0.0%"
"171","Michael Campanaro (FA)","0","1","0","0","0","0","0","3","72","0","0","3","7.2","2.4","0.0%"
"172","Tavarres King (FA)","2","4","50","25.0","44","1","0","0","0","0","0","7","7.0","1.0","0.0%"
"173","Bradley Marquez (FA)","3","7","37","12.3","13","0","0","1","2","0","0","14","6.9","0.5","0.0%"
"174","Dwayne Harris (FA)","1","1","13","13.0","13","0","1","0","0","0","1","16","6.3","0.4","0.0%"
"175","Rashad Greene (FA)","5","8","32","6.4","9","0","0","0","0","0","1","8","6.2","0.8","0.0%"
"176","Mike Thomas (FA)","3","9","37","12.3","16","0","0","0","0","0","1","15","4.7","0.3","0.0%"
"177","Griff Whalen (FA)","2","4","22","11.0","12","0","0","0","0","0","0","8","4.2","0.5","0.0%"
"178","Brenton Bersin (FA)","2","6","17","8.5","10","0","0","0","0","0","0","10","3.7","0.4","0.0%"
"179","Percy Harvin (FA)","2","4","6","3.0","5","0","0","1","11","0","0","2","3.7","1.9","0.1%"
"180","Shane Wynn (FA)","1","3","19","19.0","19","0","0","2","5","0","0","5","3.4","0.7","0.0%"
"181","DeAndre Smelter (FA)","1","1","23","23.0","23","1","0","0","0","0","0","2","3.3","1.7","0.0%"
"182","Jeremy Butler (FA)","2","2","11","5.5","6","0","0","0","0","0","0","4","3.1","0.8","0.0%"
"183","Devin Street (FA)","1","6","20","20.0","20","1","0","0","0","0","0","5","3.0","0.6","0.0%"
"184","Devin Smith (FA)","1","3","20","20.0","20","1","0","0","0","0","0","4","3.0","0.8","0.0%"
"185","Damiere Byrd (HOU)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
