#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
32,Joe Flacco,QB,CLE,12,16.2,11.8,22,13,12.3,6,-,14.8,22.1,15.4,13.3,29.2,19.1,12.1,14.5,8.7,15.2,242.5
33,Mark Ingram II,RB,FA,10.7,8.7,22.7,22.5,-,8,16.2,-1.5,31.1,8.3,10.5,29.7,10.3,3.3,11.2,25.3,25.2,15.1,242.2
34,Michael Crabtree,WR,FA,17.7,13.1,18.2,33.8,13.7,3,23.6,18.8,4.7,-,3.5,19,20.4,6.1,18,16,9.7,15,239.3
35,Amari Cooper,WR,CLE,21.7,12.1,10.2,9.8,27.8,22.9,6.9,35.3,11.6,-,15.7,6.2,13.9,7.9,3.8,12.6,13.9,14.5,232.3
36,Jarvis Landry,WR,FA,12.9,21.5,26.6,13.1,6,16.1,14.8,-,6.3,11.3,13.8,8.7,19.6,12.3,19.8,5.9,22.6,14.5,231.3
37,Julian Edelman,WR,FA,15.2,14.6,9.2,2.7,8.5,7.8,13,13.7,-,14.9,22.9,16.3,18.1,14.3,13.5,13.9,31.7,14.4,230.3
38,Jordan Howard,RB,FA,-,5.1,13.2,16.2,25.3,12,2.2,30.2,-,8,10.9,15.7,29.7,13,21.3,13.8,13.5,15.3,230.1
39,Alex Smith,QB,FA,28,3.6,13.2,17.7,-,8.9,17.3,10,-,8.4,19.4,15,12.5,12.2,11.6,22.4,24.7,15,224.8
40,Golden Tate,WR,FA,11.3,3.3,7.2,3.1,7.5,30.8,15.3,11.2,25,-,3.1,12.7,28.5,11.7,20.2,11.8,20.4,13.9,223.1
41,Travis Kelce,TE,KC,13.4,8.4,20.9,13.3,BYE,6.2,4.4,23.1,10.8,8.1,17.3,18.1,22,15.1,7.1,33,1.8,13.9,223
42,Tyrell Williams,WR,FA,9.1,15.1,12.9,9,22.7,5.8,21,1.4,18.5,23.5,-,21,12.7,8.8,6,16.4,13,13.6,216.9
43,Jay Ajayi,RB,FA,-,6.5,8.8,6.6,10.2,33.7,28.6,-,22,9,11.4,12.6,14.7,7.3,5.1,27.9,10.9,14.4,215.3
44,Carson Wentz,QB,LAR,19.2,12.6,21,-,16.9,7.4,6.1,11.8,10.2,8.2,14.9,17.5,13.6,13.1,11.6,10.8,19.1,13.4,214
45,Emmanuel Sanders,WR,FA,9.9,6.9,32.7,22.8,15,8,12.6,10.8,9.7,10.4,-,29.2,6.2,27,7.8,3.6,0,13.3,212.6
46,Kyle Rudolph,TE,FA,10.5,12.1,20,16.5,3.5,-,10.5,8.1,7.1,17.9,3.2,15.4,10.5,16,17.7,11.3,28.7,13.1,209
47,Latavius Murray,RB,BUF,14.2,22.1,10.8,4.4,-,-,20.3,12.1,31.7,BYE,14.2,17.8,25.5,16.3,8.2,7.1,3.5,14.9,208.2
48,Greg Olsen,TE,FA,14.3,23.2,12.4,21.6,27.1,15.4,-,2.1,16.2,8.9,7.3,8.5,6,12.7,14.5,11.9,5.2,13,207.3
49,Allen Robinson II,WR,PIT,13.2,8.4,24.7,16.5,-,7.9,2.9,13,20.6,27.7,10.8,4.4,6.1,2.7,3.5,23.7,13.2,12.5,199.3
50,Tyreek Hill,WR,MIA,7.9,2.7,5.3,13.2,-,4,13.1,21.5,6.2,20.1,10.1,26.5,12.2,16.8,12.8,15.5,11.1,12.4,199
51,DeAndre Hopkins,WR,TEN,16.4,24.3,9.6,1.4,16.6,16.1,8.6,8.4,-,9.8,10.8,12,14.8,5.3,16.7,7.3,19.3,12.3,197.4
52,Adam Thielen,WR,CAR,9.4,8.1,5.9,4.1,25.7,-,7.2,7,10.8,12.2,17.5,13.3,13.6,14.1,0,44.6,1.7,12.2,195.2
53,Stefon Diggs,WR,BUF,17.2,33.2,8,9.6,-,-,3.8,21.6,22.2,29.4,9.7,-,13.9,8.5,3.3,12.9,-,14.9,193.3
54,Carlos Hyde,RB,FA,23.3,6.2,25.5,14.9,23.4,5.2,-,-,-,1.4,14,20.5,10.8,27,6.7,13.2,-,14.8,192.1
55,Trevor Siemian,QB,NYJ,9.1,11.3,29,6.7,-,13.3,10.2,6.8,15.3,14.8,BYE,29,-,17.4,9.7,5.3,13.7,13.7,191.7
