"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","128","184","1,809","14.1","64","49","8","4","24","1","0","17","368.6","21.7","100.0%"
"2","Tyreek Hill (MIA)","119","170","1,710","14.4","64","45","7","7","32","1","0","17","341.2","20.1","100.0%"
"3","Davante Adams (LV)","100","180","1,516","15.2","60","47","14","3","-1","0","0","17","335.5","19.7","100.0%"
"4","Stefon Diggs (BUF)","110","156","1,455","13.2","53","35","11","1","-3","0","0","17","321.2","18.9","99.9%"
"5","CeeDee Lamb (DAL)","107","156","1,359","12.7","39","30","9","10","47","0","0","17","301.6","17.7","100.0%"
"6","A.J. Brown (PHI)","88","145","1,496","17.0","78","45","11","0","0","0","2","17","299.6","17.6","100.0%"
"7","Amon-Ra St. Brown (DET)","106","146","1,161","11.0","49","15","6","9","95","0","0","16","267.6","16.7","100.0%"
"8","Jaylen Waddle (MIA)","75","117","1,356","18.1","84","41","8","3","26","0","1","17","259.2","15.2","96.0%"
"9","DeVonta Smith (PHI)","95","136","1,196","12.6","45","30","7","0","0","0","1","17","254.6","15.0","97.0%"
"10","Amari Cooper (CLE)","78","132","1,160","14.9","55","31","9","0","0","0","0","17","247.0","14.5","91.4%"
"11","Ja'Marr Chase (CIN)","87","134","1,046","12.0","60","22","9","5","8","0","2","13","242.4","18.6","99.3%"
"12","Christian Kirk (JAC)","84","133","1,108","13.2","49","27","8","5","11","0","1","17","241.9","14.2","60.8%"
"13","Tyler Lockett (SEA)","84","117","1,033","12.3","40","23","9","0","0","0","2","16","237.3","14.8","91.5%"
"14","Terry McLaurin (WAS)","77","120","1,191","15.5","52","34","5","7","29","0","0","17","229.0","13.5","90.9%"
"15","Brandon Aiyuk (SF)","78","114","1,015","13.0","54","23","8","2","23","0","1","17","227.8","13.4","97.0%"
"16","DK Metcalf (SEA)","90","141","1,048","11.6","54","20","6","0","0","0","2","17","226.8","13.3","98.4%"
"17","Mike Evans (TB)","77","127","1,124","14.6","63","34","6","0","0","0","0","15","225.4","15.0","97.5%"
"18","Tee Higgins (CIN)","75","110","1,042","13.9","59","24","7","0","0","0","0","15","223.2","14.9","92.9%"
"19","Chris Godwin (TB)","104","142","1,023","9.8","44","13","3","3","5","0","2","15","222.8","14.9","91.6%"
"20","Michael Pittman Jr. (IND)","99","141","925","9.3","28","8","4","3","30","0","1","16","216.5","13.5","96.3%"
"21","Garrett Wilson (NYJ)","83","147","1,103","13.3","60","27","4","4","4","0","1","17","215.7","12.7","96.6%"
"22","Jerry Jeudy (DEN)","67","100","972","14.5","67","31","6","4","40","0","0","15","204.2","13.6","60.1%"
"23","Cooper Kupp (LAR)","75","98","812","10.8","75","18","6","9","52","1","1","9","201.4","22.4","97.9%"
"24","DJ Moore (CHI)","63","118","888","14.1","62","27","7","10","53","0","0","17","199.1","11.7","97.5%"
"25","Chris Olave (NO)","72","119","1,042","14.5","53","25","4","0","0","0","2","15","198.2","13.2","98.3%"
"26","Zay Jones (JAC)","82","121","823","10.0","59","10","5","4","18","0","0","16","198.1","12.4","25.8%"
"27","JuJu Smith-Schuster (NE)","78","101","933","12.0","53","18","3","0","0","0","2","16","185.3","11.6","18.5%"
"28","Diontae Johnson (PIT)","86","147","882","10.3","37","10","0","7","25","0","0","17","180.7","10.6","80.2%"
"29","Jakobi Meyers (LV)","67","96","804","12.0","48","18","6","2","-11","0","2","14","180.3","12.9","79.1%"
"30","Adam Thielen (CAR)","70","107","716","10.2","36","8","6","1","4","0","0","17","180.0","10.6","87.2%"
"31","Drake London (ATL)","72","117","866","12.0","40","15","4","0","0","0","3","17","178.6","10.5","82.6%"
"32","Mike Williams (LAC)","63","93","895","14.2","55","20","4","0","0","0","0","13","176.5","13.6","18.7%"
"33","Curtis Samuel (WAS)","64","92","656","10.3","49","13","4","38","187","1","1","17","176.3","10.4","41.5%"
"34","Tyler Boyd (CIN)","59","83","776","13.2","60","18","6","0","0","0","0","17","175.5","10.3","48.8%"
