"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","107","153","1,361","12.7","43","27","9","1","0","0","0","17","301.1","17.7","51.0%"
"2","Travis Kelce (KC)","92","134","1,125","12.2","69","20","9","2","3","1","1","16","262.8","16.4","99.3%"
"3","Dalton Schultz (HOU)","78","104","808","10.4","32","8","8","0","0","0","0","17","208.8","12.3","79.8%"
"4","George Kittle (SF)","71","94","910","12.8","48","17","6","3","20","0","1","14","198.0","14.1","98.0%"
"5","Zach Ertz (DET)","74","112","763","10.3","47","9","5","1","4","0","0","17","180.7","10.6","10.9%"
"6","Kyle Pitts (ATL)","68","110","1,026","15.1","61","25","1","0","0","0","0","17","176.6","10.4","81.6%"
"7","Rob Gronkowski (FA)","55","88","802","14.6","42","20","6","0","0","0","0","12","171.2","14.3","1.5%"
"8","Dallas Goedert (PHI)","56","76","830","14.8","45","18","4","0","0","0","0","15","165.0","11.0","90.6%"
"9","Mike Gesicki (NE)","73","112","780","10.7","40","15","2","0","0","0","0","17","165.0","9.7","3.4%"
"10","Hunter Henry (NE)","50","75","603","12.1","35","12","9","0","0","0","0","16","164.3","10.3","21.9%"
"11","Dawson Knox (BUF)","49","71","587","12.0","53","14","9","0","4","0","0","15","164.1","10.9","6.0%"
"12","Noah Fant (SEA)","68","90","670","9.9","35","9","4","0","0","0","0","16","159.0","9.9","1.9%"
"13","Pat Freiermuth (PIT)","60","79","497","8.3","24","2","7","0","0","0","1","16","151.7","9.5","56.4%"
"14","Tyler Higbee (LAR)","61","85","560","9.2","37","4","5","0","0","0","0","15","147.0","9.8","37.9%"
"15","T.J. Hockenson (MIN)","61","84","583","9.6","33","9","4","0","0","0","0","12","145.3","12.1","75.9%"
"16","Tyler Conklin (NYJ)","61","87","593","9.7","40","7","3","0","0","0","0","17","138.3","8.1","17.4%"
"17","Darren Waller (NYG)","55","93","665","12.1","33","15","2","0","0","0","0","11","133.5","12.1","70.9%"
"18","Jared Cook (FA)","48","83","564","11.8","42","9","4","0","0","0","0","16","132.4","8.3","0.0%"
"19","C.J. Uzomah (NYJ)","49","63","493","10.1","55","13","5","0","0","0","0","16","128.3","8.0","0.1%"
"20","Cole Kmet (CHI)","60","93","612","10.2","25","7","0","1","0","0","0","17","121.2","7.1","83.6%"
"21","Gerald Everett (LAC)","48","63","478","10.0","41","8","4","3","20","0","2","15","117.8","7.9","41.6%"
"22","David Njoku (CLE)","36","53","475","13.2","71","15","4","1","1","0","0","15","107.6","7.2","93.3%"
"23","Evan Engram (JAC)","46","73","408","8.9","30","3","3","1","-3","0","1","15","102.5","6.8","96.7%"
"24","Austin Hooper (LV)","38","61","345","9.1","34","5","3","0","0","0","0","15","92.5","6.2","0.4%"
"25","Foster Moreau (NO)","30","44","373","12.4","44","9","3","0","0","0","0","15","85.3","5.7","0.1%"
"26","Mo Alie-Cox (IND)","24","45","316","13.2","37","6","4","0","0","0","0","17","79.6","4.7","0.1%"
"27","Jack Doyle (FA)","29","43","302","10.4","34","4","3","0","0","0","0","15","79.2","5.3","2.0%"
"28","Cameron Brate (FA)","30","57","245","8.2","18","0","4","0","0","0","0","16","78.5","4.9","2.0%"
"29","Albert Okwuegbunam (PHI)","33","40","330","10.0","64","6","2","0","0","0","1","14","76.0","5.4","0.1%"
"30","Dan Arnold (FA)","35","52","408","11.7","28","2","0","0","0","0","1","11","75.8","6.9","0.0%"
"31","Anthony Firkser (DET)","34","43","291","8.6","24","1","2","0","0","0","1","15","73.1","4.9","0.0%"
"32","Durham Smythe (MIA)","34","41","357","10.5","25","5","0","2","3","0","0","16","70.0","4.4","0.8%"
"33","Geoff Swaim (ARI)","31","40","210","6.8","26","2","3","0","0","0","0","16","70.0","4.4","0.0%"
"34","Ricky Seals-Jones (FA)","30","49","271","9.0","39","2","2","0","0","0","0","11","69.1","6.3","0.0%"
"35","Jonnu Smith (ATL)","28","45","294","10.5","28","5","1","9","40","0","0","16","67.4","4.2","14.7%"
"36","Ryan Griffin (FA)","27","42","261","9.7","29","4","2","0","0","0","0","14","65.1","4.7","0.0%"
"37","Hayden Hurst (CAR)","26","31","221","8.5","33","2","3","0","0","0","1","12","64.1","5.3","2.6%"
"38","Adam Trautman (DEN)","27","43","263","9.7","32","3","2","0","0","0","1","11","63.3","5.8","0.4%"
"39","Harrison Bryant (CLE)","21","28","233","11.1","41","6","3","0","0","0","0","15","62.3","4.2","0.3%"
"40","Josiah Deguara (GB)","25","33","245","9.8","62","6","2","0","0","0","0","14","61.5","4.4","0.1%"
"41","Kyle Rudolph (FA)","26","39","257","9.9","60","6","1","0","0","0","0","15","59.7","4.0","0.0%"
"42","Donald Parham Jr. (LAC)","20","27","190","9.5","22","1","3","0","0","0","0","14","59.0","4.2","2.0%"
"43","Brevin Jordan (HOU)","20","28","178","8.9","27","2","3","0","0","0","0","8","55.8","7.0","6.8%"
"44","Logan Thomas (WAS)","18","25","196","10.9","35","3","3","0","0","0","1","5","53.6","10.7","37.3%"
"45","Tommy Tremble (CAR)","20","35","180","9.0","30","2","1","3","11","1","0","15","53.1","3.5","0.2%"
"46","Juwan Johnson (NO)","13","22","159","12.2","27","3","4","0","0","0","0","13","52.9","4.1","18.9%"
"47","John Bates (WAS)","20","25","249","12.5","32","5","1","0","0","0","0","13","50.9","3.9","0.1%"
"48","Jimmy Graham (NO)","14","23","167","11.9","28","2","3","0","0","0","0","11","50.7","4.6","0.2%"
"49","Robert Tonyan (CHI)","18","29","204","11.3","33","5","2","0","0","0","0","8","50.4","6.3","0.2%"
"50","James O'Shaughnessy (FA)","24","34","244","10.2","30","6","0","0","0","0","0","7","50.4","7.2","0.0%"
"51","Will Dissly (SEA)","21","26","231","11.0","39","6","1","0","0","0","0","13","50.1","3.9","0.2%"
"52","MyCole Pruitt (ATL)","14","19","145","10.4","22","2","3","0","0","0","0","13","48.5","3.7","0.0%"
"53","Marcedes Lewis (CHI)","23","28","214","9.3","23","3","0","0","0","0","0","13","44.4","3.4","0.0%"
"54","Jordan Akins (CLE)","24","33","214","8.9","31","2","0","1","3","0","2","12","41.7","3.5","0.1%"
"55","Maxx Williams (FA)","16","17","193","12.1","34","4","1","0","0","0","0","5","41.3","8.3","0.0%"
"56","Tyler Kroft (MIA)","16","25","173","10.8","26","3","1","0","0","0","0","9","39.3","4.4","0.1%"
"57","Stephen Anderson (LAC)","16","19","165","10.3","34","4","1","0","0","0","0","14","38.5","2.8","0.0%"
"58","Pharaoh Brown (NE)","23","34","171","7.4","29","2","0","0","0","0","1","13","38.1","2.9","0.0%"
"59","Ian Thomas (CAR)","18","30","188","10.4","41","5","0","0","0","0","0","14","36.8","2.6","0.0%"
"60","Brock Wright (DET)","12","17","117","9.8","36","3","2","0","0","0","0","8","35.7","4.5","0.1%"
